all_subtype,n,chr16_gain_sensitive,chr16_gain_primary,chr16_gain_strict,median_chr16_mean_log2
B-other,143,0,0,0,-0.007295945350374613
ETV6-RUNX1,136,4,4,4,-0.011999999999999997
high hyperdiploid,48,5,5,4,0.009796826795945351
BCR-ABL1,19,1,1,1,0.007433230498016746
iAMP21,12,0,0,0,-0.011267408550022038
TCF3-PBX1,4,0,0,0,-0.023091670339356545
T-ALL,3,0,0,0,-0.012999999999999998
KMT2A-rearranged,3,0,0,0,-0.016
low hypodiploid (<39),2,0,0,0,-0.7447831643895989
near tetraploidy (>65),2,1,1,1,0.10107668576465402
