penalizer,variables,n,events,gain16_hr,gain16_ci_low,gain16_ci_high,gain16_p,cindex,warning_count,error
0,gain16,141,24,4.203605402045863,1.4358822951667445,12.306230417067137,0.008790853352124508,0.5550918196994992,0,
0,"gain16,log_mrd",141,24,4.582543775709091,1.554002279637518,13.51330543812874,0.005799096254423732,0.7096828046744574,0,
0,"gain16,log_mrd,age_ge10,wbc_ge50",141,24,5.704792653098097,1.9167711062710258,16.978897015072338,0.0017528805413822113,0.7335559265442404,0,
0.01,gain16,141,24,4.084863688049985,1.3961775890055268,11.951281471173418,0.010191457860226167,0.5550918196994992,0,
0.01,"gain16,log_mrd",141,24,4.407508981556473,1.4965485188550958,12.980625203760553,0.007112860671888589,0.7083472454090151,0,
0.01,"gain16,log_mrd,age_ge10,wbc_ge50",141,24,5.364525130295365,1.8010718004468773,15.97833571456183,0.002556520309652208,0.7318864774624374,0,
0.05,gain16,141,24,3.6653237952644844,1.2595296481467415,10.6663614817639,0.017156437227543498,0.5550918196994992,0,
0.05,"gain16,log_mrd",141,24,3.8436695705971147,1.3143310240474124,11.240544046840721,0.013925329827855257,0.7096828046744574,0,
0.05,"gain16,log_mrd,age_ge10,wbc_ge50",141,24,4.430645519962882,1.4917886999913084,13.159115445559776,0.00735960779991317,0.7318864774624374,0,
0.1,gain16,141,24,3.2451480803205945,1.1294496375314087,9.323997913023888,0.028814078667743274,0.5550918196994992,0,
0.1,"gain16,log_mrd",141,24,3.3379497562087876,1.1574504269197996,9.626251212006624,0.02571110112869322,0.7080133555926544,0,
0.1,"gain16,log_mrd,age_ge10,wbc_ge50",141,24,3.702469499684474,1.2628242393090348,10.855255996348632,0.017071820088328516,0.7298831385642738,0,
0.5,gain16,141,24,1.8484819810919382,0.7782668185913267,4.390378148982615,0.16392858135215668,0.5550918196994992,0,
0.5,"gain16,log_mrd",141,24,1.8517790272276522,0.7792718608360992,4.400371344091705,0.16294815419586572,0.7086811352253757,0,
0.5,"gain16,log_mrd,age_ge10,wbc_ge50",141,24,1.8872653008567963,0.7895759528549258,4.510991378270258,0.1531309051438716,0.7248747913188648,0,
