dataset	original_id	ensembl	symbol	mapping_source	duplicate_status	included	exclusion_reason
OKSA	ENSG00000000003	ENSG00000000003	TSPAN6	ensembl_from_source	unique	True	
OKSA	ENSG00000000419	ENSG00000000419	DPM1	ensembl_from_source	unique	True	
OKSA	ENSG00000000457	ENSG00000000457	SCYL3	ensembl_from_source	unique	True	
OKSA	ENSG00000000460	ENSG00000000460	FIRRM	ensembl_from_source	unique	True	
OKSA	ENSG00000000938	ENSG00000000938	FGR	ensembl_from_source	unique	True	
OKSA	ENSG00000000971	ENSG00000000971	CFH	ensembl_from_source	unique	True	
OKSA	ENSG00000001036	ENSG00000001036	FUCA2	ensembl_from_source	unique	True	
OKSA	ENSG00000001084	ENSG00000001084	GCLC	ensembl_from_source	unique	True	
OKSA	ENSG00000001167	ENSG00000001167	NFYA	ensembl_from_source	unique	True	
OKSA	ENSG00000001460	ENSG00000001460	STPG1	ensembl_from_source	unique	True	
OKSA	ENSG00000001461	ENSG00000001461	NIPAL3	ensembl_from_source	unique	True	
OKSA	ENSG00000001497	ENSG00000001497	LAS1L	ensembl_from_source	unique	True	
OKSA	ENSG00000001561	ENSG00000001561	ENPP4	ensembl_from_source	unique	True	
OKSA	ENSG00000001617	ENSG00000001617	SEMA3F	ensembl_from_source	unique	True	
OKSA	ENSG00000001629	ENSG00000001629	ANKIB1	ensembl_from_source	unique	True	
OKSA	ENSG00000001630	ENSG00000001630	CYP51A1	ensembl_from_source	unique	True	
OKSA	ENSG00000001631	ENSG00000001631	KRIT1	ensembl_from_source	unique	True	
OKSA	ENSG00000002016	ENSG00000002016	RAD52	ensembl_from_source	unique	True	
OKSA	ENSG00000002330	ENSG00000002330	BAD	ensembl_from_source	unique	True	
OKSA	ENSG00000002549	ENSG00000002549	LAP3	ensembl_from_source	unique	True	
OKSA	ENSG00000002586	ENSG00000002586	CD99	ensembl_from_source	unique	True	
OKSA	ENSG00000002587	ENSG00000002587	HS3ST1	ensembl_from_source	unique	True	
OKSA	ENSG00000002822	ENSG00000002822	MAD1L1	ensembl_from_source	unique	True	
OKSA	ENSG00000002834	ENSG00000002834	LASP1	ensembl_from_source	unique	True	
OKSA	ENSG00000002919	ENSG00000002919	SNX11	ensembl_from_source	unique	True	
OKSA	ENSG00000002933	ENSG00000002933	TMEM176A	ensembl_from_source	unique	True	
OKSA	ENSG00000003056	ENSG00000003056	M6PR	ensembl_from_source	unique	True	
OKSA	ENSG00000003096	ENSG00000003096	KLHL13	ensembl_from_source	unique	True	
OKSA	ENSG00000003147	ENSG00000003147	ICA1	ensembl_from_source	unique	True	
OKSA	ENSG00000003249	ENSG00000003249	DBNDD1	ensembl_from_source	unique	True	
OKSA	ENSG00000003393	ENSG00000003393	ALS2	ensembl_from_source	unique	True	
OKSA	ENSG00000003400	ENSG00000003400	CASP10	ensembl_from_source	unique	True	
