axis	n_pathways	n_padj_lt_0_05	best_pathway	best_NES	best_padj	best_direction	best_B_q	class_v2	oksa_side_evidence	li_side_test	li_side_adjusted_q	li_side_significant	forbidden_class
unexpected_top	5203	796	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.63630717825803	7.90604303943504e-19	higher_in_slow	0.915578083278327	OKSA_SUPPORTED_WITH_GENE_LEVEL_CROSS_COHORT_CONTEXT	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION (NES 2.636, padj 7.91e-19)	over-representation of concordant genes	0.915578083278327	False	CROSS_COHORT_VALIDATED_PATHWAY
metabolic_programmes	354	56	HALLMARK_HEME_METABOLISM	2.77199002046186	8.96450611325223e-24	higher_in_slow		OKSA_SUPPORTED_WITH_GENE_LEVEL_CROSS_COHORT_CONTEXT	HALLMARK_HEME_METABOLISM (NES 2.772, padj 8.96e-24)	over-representation of concordant genes		False	CROSS_COHORT_VALIDATED_PATHWAY
RAS_MAPK	124	20	HALLMARK_KRAS_SIGNALING_UP	2.08958132192031	4.33936910814584e-08	higher_in_slow	0.915578083278327	OKSA_SUPPORTED_WITH_GENE_LEVEL_CROSS_COHORT_CONTEXT	HALLMARK_KRAS_SIGNALING_UP (NES 2.090, padj 4.34e-08)	over-representation of concordant genes	0.915578083278327	False	CROSS_COHORT_VALIDATED_PATHWAY
cell_cycle_E2F	136	10	GOBP_DNA_TEMPLATED_DNA_REPLICATION	-1.90639680785684	5.59012783960186e-05	higher_in_fast	0.915578083278327	OKSA_SUPPORTED_WITH_GENE_LEVEL_CROSS_COHORT_CONTEXT	GOBP_DNA_TEMPLATED_DNA_REPLICATION (NES -1.906, padj 5.59e-05)	over-representation of concordant genes	0.915578083278327	False	CROSS_COHORT_VALIDATED_PATHWAY
DNA_repair	53	6	GOBP_HOMOLOGOUS_RECOMBINATION	-1.93524710268862	0.0012798678748839	higher_in_fast		OKSA_SUPPORTED_WITH_GENE_LEVEL_CROSS_COHORT_CONTEXT	GOBP_HOMOLOGOUS_RECOMBINATION (NES -1.935, padj 0.001)	over-representation of concordant genes		False	CROSS_COHORT_VALIDATED_PATHWAY
JAK_STAT	23	5	HALLMARK_IL2_STAT5_SIGNALING	2.00869307269904	7.53232732589207e-08	higher_in_slow	0.915578083278327	OKSA_SUPPORTED_WITH_GENE_LEVEL_CROSS_COHORT_CONTEXT	HALLMARK_IL2_STAT5_SIGNALING (NES 2.009, padj 7.53e-08)	over-representation of concordant genes	0.915578083278327	False	CROSS_COHORT_VALIDATED_PATHWAY
B_cell_developmental_state	63	4	GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	2.14131215305548	0.0002571407070924	higher_in_slow		OKSA_SUPPORTED_WITH_GENE_LEVEL_CROSS_COHORT_CONTEXT	GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN (NES 2.141, padj 2.57e-04)	over-representation of concordant genes		False	CROSS_COHORT_VALIDATED_PATHWAY
apoptosis	38	3	HALLMARK_APOPTOSIS	2.1709798606792	1.11899628168834e-08	higher_in_slow	0.915578083278327	OKSA_SUPPORTED_WITH_GENE_LEVEL_CROSS_COHORT_CONTEXT	HALLMARK_APOPTOSIS (NES 2.171, padj 1.12e-08)	over-representation of concordant genes	0.915578083278327	False	CROSS_COHORT_VALIDATED_PATHWAY
TNFA_NFKB	8	1	HALLMARK_TNFA_SIGNALING_VIA_NFKB	2.77802112786253	5.68349876066482e-24	higher_in_slow	0.915578083278327	OKSA_SUPPORTED_WITH_GENE_LEVEL_CROSS_COHORT_CONTEXT	HALLMARK_TNFA_SIGNALING_VIA_NFKB (NES 2.778, padj 5.68e-24)	over-representation of concordant genes	0.915578083278327	False	CROSS_COHORT_VALIDATED_PATHWAY
hypoxia	4	1	HALLMARK_HYPOXIA	2.33011314175095	6.62279567664628e-12	higher_in_slow	0.996459219774725	OKSA_SUPPORTED_WITH_GENE_LEVEL_CROSS_COHORT_CONTEXT	HALLMARK_HYPOXIA (NES 2.330, padj 6.62e-12)	over-representation of concordant genes	0.996459219774725	False	CROSS_COHORT_VALIDATED_PATHWAY
MYC	3	1	HALLMARK_MYC_TARGETS_V1	1.5972135177589	0.0005133830415969	higher_in_slow		OKSA_SUPPORTED_WITH_GENE_LEVEL_CROSS_COHORT_CONTEXT	HALLMARK_MYC_TARGETS_V1 (NES 1.597, padj 5.13e-04)	over-representation of concordant genes		False	CROSS_COHORT_VALIDATED_PATHWAY
BCR_signalling	0	0						OKSA_SUPPORTED_WITH_GENE_LEVEL_CROSS_COHORT_CONTEXT		over-representation of concordant genes		False	CROSS_COHORT_VALIDATED_PATHWAY
