gene	candidate_tier	oksa_coefficient_slow_vs_fast	oksa_p	oksa_fdr	li_C1_minus_C2	li_p	li_fdr	direction_concordant	abs_oksa_effect	in_top_oksa_effect_quartile	target_log2FC	target_assessability	target_class	target_concordant_with_oksa	drug_target_for	singlecell_pct_cells	local_validation_availability	is_SHE	contrasts	is_Tier1
BRINP2	NOT_CONCORDANT	1.44765742994548	0.054037444084145	0.48243598287771	-0.8483616537573999			False	1.44765742994548	False		not_assessable_in_TARGET	not_assessable_in_TARGET				NOT_AVAILABLE - no biospecimen inventory (LOCAL_BIOSPECIMEN_INVENTORY_REQUIRED = TRUE)	False	Oksa EOI slow vs fast | Li C1 vs C2	False
CCSER1	NOT_CONCORDANT	-1.00338945516538	0.0818897349684487	0.537552321904147	0.2534887749737859			False	1.00338945516538	False		not_assessable_in_TARGET	not_assessable_in_TARGET				NOT_AVAILABLE - no biospecimen inventory (LOCAL_BIOSPECIMEN_INVENTORY_REQUIRED = TRUE)	False	Oksa EOI slow vs fast | Li C1 vs C2	False
TFEC	NOT_CONCORDANT	-0.795410907186042	0.101319587657418	0.569973602249713	0.4831490779394333			False	0.795410907186042	False	1.4131289104300324	assessable	discordant_with_both	False			NOT_AVAILABLE - no biospecimen inventory (LOCAL_BIOSPECIMEN_INVENTORY_REQUIRED = TRUE)	False	Oksa EOI slow vs fast | Li C1 vs C2	False
TBC1D12	NOT_CONCORDANT	-0.9512022651959	0.152600381571639	0.627944897283206	0.5523591069309665			False	0.9512022651959	False		not_assessable_in_TARGET	not_assessable_in_TARGET				NOT_AVAILABLE - no biospecimen inventory (LOCAL_BIOSPECIMEN_INVENTORY_REQUIRED = TRUE)	False	Oksa EOI slow vs fast | Li C1 vs C2	False
PLXDC2	NOT_CONCORDANT	-1.0516462523423	0.212509307262066	0.679067872927279	0.5060833145380483			False	1.0516462523423	False	0.5003958910242852	assessable	discordant_with_both	False			NOT_AVAILABLE - no biospecimen inventory (LOCAL_BIOSPECIMEN_INVENTORY_REQUIRED = TRUE)	False	Oksa EOI slow vs fast | Li C1 vs C2	False
PATJ	NOT_CONCORDANT	-0.4746003933347	0.241063495282969	0.700959957744454	0.2810916581065948			False	0.4746003933347	False	-0.2540453963336467	assessable	TARGET_only_concordant	True			NOT_AVAILABLE - no biospecimen inventory (LOCAL_BIOSPECIMEN_INVENTORY_REQUIRED = TRUE)	False	Oksa EOI slow vs fast | Li C1 vs C2	False
GALNT3	NOT_CONCORDANT	-0.464594534482138	0.261228052513622	0.711685829333561	0.4794014493581384			False	0.464594534482138	False	0.5307859866095402	assessable	discordant_with_both	False			NOT_AVAILABLE - no biospecimen inventory (LOCAL_BIOSPECIMEN_INVENTORY_REQUIRED = TRUE)	False	Oksa EOI slow vs fast | Li C1 vs C2	False
ZSCAN23	NOT_CONCORDANT	-0.610462959393435	0.313191942217696	0.74528766474261	0.1464205666224445			False	0.610462959393435	False		not_assessable_in_TARGET	not_assessable_in_TARGET				NOT_AVAILABLE - no biospecimen inventory (LOCAL_BIOSPECIMEN_INVENTORY_REQUIRED = TRUE)	False	Oksa EOI slow vs fast | Li C1 vs C2	False
ST14	NOT_CONCORDANT	-0.536770462644524	0.333460748079325	0.757541736430748	0.1646054024669127			False	0.536770462644524	False	0.0098418099943395	assessable	discordant_with_both	False			NOT_AVAILABLE - no biospecimen inventory (LOCAL_BIOSPECIMEN_INVENTORY_REQUIRED = TRUE)	False	Oksa EOI slow vs fast | Li C1 vs C2	False
XKR6	NOT_CONCORDANT	-0.42673413658976	0.443039299347076	0.814042606258301	0.3795205567066895			False	0.42673413658976	False	-0.9132791628207916	assessable	TARGET_only_concordant	True			NOT_AVAILABLE - no biospecimen inventory (LOCAL_BIOSPECIMEN_INVENTORY_REQUIRED = TRUE)	False	Oksa EOI slow vs fast | Li C1 vs C2	False
