gene	li194_mean_diff	li194_median_diff	li194_mwu_p
KLHDC7A	-0.6272888250753353	-0.7627610886973271	1.4341381883492826e-05
EFEMP1	-1.221462687693257	-1.5431549784394305	3.69972095763215e-16
FGF6	-1.0792737241529153	-1.2573615393273199	1.4956219016847054e-13
ABCA9	-1.2500733967429123	-1.407374306807929	3.5804605634642944e-17
VIPR2	-0.8939277492381648	-1.297285642072273	9.28175985842085e-09
GABRA4	-1.0378347154268728	-1.1005411644605885	2.2253838470611593e-13
ADAMTS16	-0.8961592979239051	-1.1718988697375594	6.097872392148162e-08
SEZ6L	-0.747034242248606	-0.4589182535708221	8.168515939084077e-07
DSCAM	-0.9795994830128423	-0.9263431469579599	9.66543148758609e-10
NCKAP5	-0.9208294886919682	-1.2170250450235496	4.27252229510845e-10
MDFI	-0.5717473302805531	-0.55622534688369	0.00022923997978261602
RIMBP2	-0.5671330720571435	-1.114387322394659	7.553349608962576e-05
LRFN2	-1.1109284241079473	-1.2192766919303848	3.319307169473149e-15
NTRK1	-0.6250840326662249	-1.078284044765081	0.00010984189007654267
SLC44A3	-1.1180813174459052	-1.323817584026291	3.326982454133431e-14
CCDC60	-0.8687310925924242	-1.034802214210527	1.3358965360737808e-09
PRAME	-0.1606848271440205	-0.3415836967368745	0.13772599864480298
ELFN1	-1.0347388980407901	-0.9741140363333816	1.4762967395513062e-12
HMX2	-0.602525468531841	-0.6446464749932931	3.0757970583574066e-05
TTLL6	-0.9984999220700781	-1.066316667397845	6.5500388519582685e-12
NOL4	-1.1343043573670872	-1.040296717784055	4.887303208921491e-17
HS3ST4	-0.6690744105255317	-0.7534768446498665	9.261685444638457e-06
ANKRD24	-0.8996610640189489	-1.3325375190695856	1.849049909862274e-09
C3orf56	-0.4061463009371924	-0.3816825599114678	0.003685887635057029
XDH	-0.929029980460332	-0.8559343981863116	3.7996596155683723e-10
ROR1	-0.9192128397961358	-1.5506079366397758	3.2539903370831115e-09
CYP4F22	-0.6612248708598665	-0.7579772453958551	0.00011957860067054542
SLC35F3	-0.8348779815929862	-0.8466099155831645	4.841697562613799e-08
CUX2	-0.6955545033716497	-0.6241002726415675	2.055177361781028e-06
BRINP2	-0.8483616537573999	-0.9171319131710495	3.1020896636239508e-09
INSC	-0.5807526307152199	-0.4496336779499285	0.0002566090365791143
LRRC14B	-0.7256096934011528	-0.5914714811759294	1.5033448294744303e-06
JPH2	-1.0029399465344908	-1.047672347164775	4.448287621240967e-12
PTPN14	-0.85525691715442	-1.5125764388989644	1.0808689227350979e-09
C14orf144	-0.2903383379169145	-0.27076752763649004	0.03576086325286531
PASD1	-1.081522214730743	-0.9417969150457025	1.0610581425131316e-14
ZDHHC19	-0.8437459589065739	-1.0519398309658277	1.0832395345269854e-08
SLC7A11	-1.091358053821586	-1.256364572260531	5.286698617924625e-14
NTSR1	-0.8041450551649417	-0.5527997941120866	7.265823498068245e-08
WISP2	-0.3276537944405019	-0.373492539152374	0.038861573875042195
UGT3A2	-0.42322308993703067	-0.5704128754813946	0.00657223606304851
GABRD	-0.5889352631017692	-0.6664575096909104	0.00014820032494899162
NGFR	-0.8455724157354806	-0.8857224018380275	1.1699050986513471e-08
NRG3	-0.39013388091073503	-0.6926512998039124	0.007130999246879699
TMPRSS3	-0.7748386689864218	-0.5054919935560604	1.597482715695061e-09
FRZB	-1.065484646341868	-1.114008205525835	2.4417744927104157e-12
LDB2	-0.5675485931693462	-0.5628565873869075	6.956288120831127e-05
ANO2	-0.7106096368138457	-0.6208515110999265	7.251840374618624e-07
TFAP2A	-0.6397906462213286	-0.6277105223802184	9.729548605672773e-06
TMEM233	-0.6964233449186055	-0.5849304310847875	1.4075830424844855e-06
AP003774.4	-0.2848684394689186	-0.502551939063686	0.07358687145321546
NPAS3	-0.37885034329520595	-0.4969222914796195	0.017293735468635333
EYA1	-0.828968359055483	-0.7645766051219345	8.258892344940102e-08
TMEM52	-0.7078517805501124	-0.765048960028903	2.3073402985738176e-06
ADAMTS15	-0.0557903180604704	0.07675280947984775	0.9832785161559675
CCDC8	-0.0873403657773367	-0.15749076742576068	0.5269202608813446
TNR	-0.6487635199987025	-0.754097587880311	2.5433817328341426e-05
TP63	-0.8265453022001292	-0.9909421411831795	1.6633225658815258e-08
HHIPL1	-0.7378850340570461	-0.9822047473557289	8.059997077296976e-07
RIMBP3C	-0.6610257702197007	-0.6683258407085999	3.2759881134541615e-05
PCDHB16	-0.18637396746283438	-0.16891827370303097	0.128170158566994
IGSF10	-0.5963682980741198	-0.5426174031471195	0.00010297523837059913
MEGF10	-0.5874292515960045	-0.4868281239311905	0.0001235586113249516
SHISA2	-0.9472138247635113	-1.5663990644471815	3.820814359388477e-11
GP1BB	-0.8021122816955627	-0.880992342919203	8.903130981402613e-08
P4HA2	-0.8810930941014777	-0.9016392518745765	8.039897029678034e-10
IRX3	-0.2867037796870583	-0.10754831335745099	0.12638747142669787
APCDD1	-0.5828822099909506	-0.5050581902192031	0.00015600514113440906
KRT24	-0.6839179553490374	-0.6391218110180721	1.2823897182221915e-06
AGRP	-0.44627382752525185	-0.505802370754045	0.0028360578749817133
GYG2	-0.5151632760685119	-0.4863387718064425	0.002775550527021084
ALX4	-0.43564875055496666	-0.14670352259512853	0.05567434145737207
SERP2	-0.06409842506376173	-0.2622317419014646	0.44042127792530184
SERPINI2	-0.306522119165421	-0.538193238259798	0.031195181786058294
FOXL1	-0.0015854954951247356	0.18122760165425503	0.7068109625249581
