gene	published_direction	in_primary_219	oksa_coef	oksa_p	oksa_fdr	li194_mean_diff	li95_mean_diff	li95_median_diff	li95_rank_biserial	li95_mwu_p	li95_bh_q	oksa_direction	li95_direction	oksa_li95_match	li194_li95_match
ABCA9	C2	True	-2.47246313200142	0.0218067326869743	0.363039609670694	-1.2500733967429123	-3.745723941838821	-4.1439430980035	-0.7381870781099324	2.853813530001672e-09	1.01921911785774e-08	down_in_slow	down_in_C1	True	True
ANPEP	C1	True	1.75667323792258	2.52443472416764e-05	0.0279700731211348	1.1961847600772815	1.9376609006556231	2.089736929377035	0.733847637415622	3.5468979124643243e-09	1.1822993041547747e-08	up_in_slow	up_in_C1	True	True
ATP9A	C1	True	1.82015789474967	0.0001629778476824	0.0577210979371918	1.3115661096987719	2.357776248653014	2.4422665162869652	0.7319189971070394	3.896674425943482e-09	1.2177107581073383e-08	up_in_slow	up_in_C1	True	True
CABLES1	C1	True	2.09891079214713	0.0028487848894381	0.180030169755434	0.9193866775763131	1.4040081761612022	1.4311498303706545	0.6354869816779172	3.184567408513344e-07	4.9758865758021e-07	up_in_slow	up_in_C1	True	True
CACNA2D2	C1	False	0.918519017787772	0.0754900231821627	0.527398192217904		1.3796897120949714	1.5236883330911546	0.7434908389585342	2.2084600036736514e-09	8.494076937206352e-09	up_in_slow	up_in_C1	True	
CAMSAP2	C2	True	-1.25694412809224	0.0035668778144469	0.194331172790808	-1.197956979406956	-1.3317055981242563	-1.1129228333884953	-0.6171648987463838	6.881476950417075e-07	9.830681357738678e-07	down_in_slow	down_in_C1	True	True
CD33	C1	True	1.28931377128775	0.0306048769563548	0.400418361175431	1.3527845140929529	2.1994371644807975	2.475287631995501	0.721311475409836	6.509073735314172e-09	1.80807603758727e-08	up_in_slow	up_in_C1	True	True
CD38	C2	False	-1.02099029806454	0.0028906006657577	0.180340824000899		-1.501471082856364	-1.4713912548407997	-0.7647058823529411	7.628270155128011e-10	4.237927863960006e-09	down_in_slow	down_in_C1	True	
CKM	C2	False	-2.09804090032178	0.0117254850031977	0.294364652653589		-1.9047905943229075	-2.426350738994265	-0.6258437801350047	4.765126792103307e-07	7.219889078944405e-07	down_in_slow	down_in_C1	True	
CNGA2	C2	False					-1.2850981853130419	-1.5379029519485599	-0.6697203471552555	5.31516240295018e-08	1.1554700875978651e-07	down_in_slow	down_in_C1	False	
CREG2	C1	True	1.81499289484808	0.0071718166562507	0.258094338304142	1.1918805684256035	1.6666622699821518	1.6836045051611048	0.6894889103182256	2.9072528201689973e-08	6.922030524211898e-08	up_in_slow	up_in_C1	True	True
