gene	li95_mean_diff	li95_median_diff	li95_mwu_p	li95_rank_biserial	published_direction
ABCA9	-3.745723941838821	-4.1439430980035	2.853813530001672e-09	-0.7381870781099324	C2
ANPEP	1.9376609006556231	2.089736929377035	3.5468979124643243e-09	0.733847637415622	C1
ATP9A	2.357776248653014	2.4422665162869652	3.896674425943482e-09	0.7319189971070394	C1
CABLES1	1.4040081761612022	1.4311498303706545	3.184567408513344e-07	0.6354869816779172	C1
CACNA2D2	1.3796897120949714	1.5236883330911546	2.2084600036736514e-09	0.7434908389585342	C1
CAMSAP2	-1.3317055981242563	-1.1129228333884953	6.881476950417075e-07	-0.6171648987463838	C2
CD33	2.1994371644807975	2.475287631995501	6.509073735314172e-09	0.721311475409836	C1
CD38	-1.501471082856364	-1.4713912548407997	7.628270155128011e-10	-0.7647058823529411	C2
CKM	-1.9047905943229075	-2.426350738994265	4.765126792103307e-07	-0.6258437801350047	C2
CNGA2	-1.2850981853130419	-1.5379029519485599	5.31516240295018e-08	-0.6697203471552555	C2
CREG2	1.6666622699821518	1.6836045051611048	2.9072528201689973e-08	0.6894889103182256	C1
CXXC5	1.45720531875949	1.7622117668619204	1.4345720309185455e-09	0.7521697203471553	C1
DAPK1	2.565526220917187	2.8019569411085445	9.096071443573781e-12	0.8476374156219866	C1
DLGAP3	1.781207406042923	1.9525438354248905	4.03595932765838e-11	0.8206364513018323	C1
DSCAM	-2.1371658236439743	-2.517218343395205	1.7851697298965367e-07	-0.6456123432979749	C2
EFEMP1	-2.514600127987542	-2.76528268966524	7.431420557670297e-06	-0.5568948891031822	C2
EGLN3	2.1667866627993844	2.1977021204541654	1.4756091514260725e-11	0.8389585342333654	C1
ESAM	3.3292324648932077	3.6530647817062043	3.383908939771503e-13	0.9045323047251688	C1
FGD4	1.5843712100710876	1.6351213455480096	2.018992801798367e-07	0.6460945033751206	C1
FRZB	-0.9704301435142337	-1.3441461491801805	0.0005122938437663717	-0.4320154291224687	C2
FZD6	1.4033435562957095	1.850637343890634	2.0606863467265346e-05	0.5294117647058822	C1
GALNT6	1.140778129830787	1.1397385330103944	1.4004662010716934e-06	0.5998071359691417	C1
GATA2	2.939434420320472	3.2817351284838256	2.1433075084013324e-11	0.832208293153327	C1
GLB1L2	0.8262381277809805	0.8211432447630145	0.0017331126911257402	0.3895853423336548	C1
GSN	-1.4864931811018156	-1.3767160954334994	5.8699474044630914e-08	-0.674059787849566	C2
IL12RB2	-1.0204402762441953	-1.08090120824592	0.0008791035886402947	-0.41369334619093534	C2
ITM2A	1.712265875677355	1.6422260354508182	5.4056650899117595e-09	0.725168756027001	C1
MAPK14	0.5645446737621356	0.5151392788845008	5.407498527822262e-07	0.6229508196721312	C1
MAST4	1.9890931373671874	2.407662863269625	9.274384973553453e-10	0.7608486017357763	C1
MPV17L	1.998441718509243	2.1844671015567254	7.60043864216287e-07	0.6147540983606556	C1
NEO1	-1.704347076528017	-1.8266766910648444	6.268416253484882e-10	-0.7685631629701061	C2
NKAIN3	1.2871987732074892	1.5971401204032203	7.443875645155752e-08	0.6687560270009643	C1
NPR3	1.120411175027245	0.9847546223249495	0.00029276962342423223	0.45033751205400185	C1
OR2B6	1.289077791000671	1.3350078687391997	1.456050400646973e-06	0.5988428158148504	C1
OR4D5	0.8336410373034497	1.3110229272212002	0.00020135653879334447	0.4570877531340405	C1
PDGFC	1.542363811148495	1.1634694678654856	3.445619676026995e-05	0.5149469623915139	C1
PLEKHG3	1.9773520879491215	2.234254172799634	2.560854371984449e-10	0.7859209257473481	C1
PWWP2B	1.5696615737335922	1.6262401452166149	1.3555603584265696e-08	0.7058823529411764	C1
REPS2	1.1048249019115106	1.1891471117209802	9.092073250551565e-07	0.6104146576663452	C1
SALL4	1.970693618802967	1.9931454728237998	1.3260117861250937e-07	0.6557377049180328	C1
SDC2	2.1497867838667872	2.0147570743886014	1.367023627087956e-09	0.7531340405014464	C1
SERTAD4	1.9046718374104579	1.73863636913633	2.6903720994419993e-07	0.639344262295082	C1
SHE	2.471091535240583	3.5025998829004594	2.325902227711366e-08	0.6943105110896817	C1
SLC6A20	1.4808791118870293	1.7789720505574902	5.4816252543943934e-06	0.5650916104146577	C1
STAB1	2.332654760561274	2.1261576779586147	3.17674947169796e-08	0.6875602700096433	C1
TDRD10	1.3133440195393056	1.4803694890749552	2.1743664604727733e-07	0.6441658630665381	C1
TFPI	3.9381223496496194	4.415324867784079	8.355113142645594e-11	0.807135969141755	C1
TXNRD3	1.3565032019880654	1.02752274218118	8.071711228085243e-07	0.613307618129219	C1
VAV3	0.7107079696809482	0.7274118648847008	2.485861154043353e-07	0.6412729026036643	C1
XPNPEP2	-0.7241639595656073	-0.40370646636005425	0.001827043396041963	-0.3876567020250723	C2
