gene	oksa_effect	li194_effect	concordant
NRG3	-3.59480281666411	-0.390133880910735	True
HS3ST4	-3.22974146552778	-0.6690744105255317	True
ROR1	-2.84279587004518	-0.9192128397961358	True
SEZ6L	-2.65801070537388	-0.747034242248606	True
ABCA9	-2.47246313200142	-1.2500733967429123	True
SERPINI2	-2.47228665768228	-0.306522119165421	True
KLHDC7A	-2.38598087286329	-0.6272888250753353	True
ELFN1	-2.35112736125767	-1.03473889804079	True
LRFN2	-2.28379371417991	-1.1109284241079471	True
CYP4F22	-2.25447434359011	-0.6612248708598665	True
MID1	-2.1222100204494	-0.9349174189686472	True
NTRK1	-2.11612168674574	-0.6250840326662249	True
MDFI	-2.04746063326892	-0.571747330280553	True
RIMBP3C	-1.94517679183355	-0.6610257702197007	True
EFEMP1	-1.90518501801758	-1.221462687693257	True
UGT3A2	-1.89902516639793	-0.4232230899370306	True
TFAP2A	-1.88186356887478	-0.6397906462213286	True
PCDHB16	-1.85617942836299	-0.1863739674628343	True
TNR	-1.83503847026261	-0.6487635199987025	True
FAM171A1	-1.71131095640453	-0.8038136064524168	True
ACY3	-1.60928510030308	-0.5363184742801406	True
CUX2	-1.55591271375597	-0.6955545033716497	True
MGAT5B	-1.53978183054412	-0.9057697408420372	True
NEO1	-1.48415432820759	-1.1663386677014431	True
ANKRD24	-1.46878807350312	-0.8996610640189489	True
IRX2	-1.46793969812389	-0.4180040630870939	True
TMEM52	-1.45698973162095	-0.7078517805501124	True
P4HA2	-1.4456100541266	-0.8810930941014777	True
GSDME	-1.44228068101502	-0.8190252614530109	True
STXBP5L	-1.42101996426716	-0.3948287463153267	True
NPAS3	-1.42001096101441	-0.3788503432952059	True
XDH	-1.37408668152445	-0.929029980460332	True
ZDHHC19	-1.35526844073391	-0.8437459589065739	True
LHFPL6	-1.34727603438887	-1.1586507161468158	True
SGCB	-1.34132086647358	-1.1176703886805937	True
ZNF391	-1.33489501149182	-0.2876222659683799	True
RIMBP2	-1.30705457423313	-0.5671330720571435	True
PASD1	-1.29048716369224	-1.081522214730743	True
CAPN9	-1.26919006860621	-0.4077648946821175	True
CAMSAP2	-1.25694412809224	-1.197956979406956	True
PRAME	-1.23058088244506	-0.1606848271440205	True
SHISA2	-1.22969113045174	-0.9472138247635112	True
NTSR1	-1.20344194402946	-0.8041450551649417	True
TTLL6	-1.19581047454226	-0.998499922070078	True
NCKAP5	-1.18793025164047	-0.9208294886919682	True
JPH2	-1.17396144235921	-1.0029399465344908	True
RIBC2	-1.16451751631372	-0.2909127063560908	True
NYNRIN	-1.14018312177078	-0.3645326060535284	True
ADAMTS15	-1.11889179195038	-0.0557903180604704	True
PTPN14	-1.10075902973696	-0.85525691715442	True
LYPD5	-1.05748013592481	-0.2032809211158427	True
PLXDC2	-1.0516462523423	0.5060833145380483	False
CCSER1	-1.00338945516538	0.2534887749737859	False
APCDD1	-0.974433941687253	-0.5828822099909506	True
ESPNL	-0.970984268247449	-0.4410333802468149	True
INSC	-0.965589966560992	-0.5807526307152199	True
PTX4	-0.953289843808606	-0.5942797443995685	True
TBC1D12	-0.9512022651959	0.5523591069309665	False
IGSF10	-0.917446595730431	-0.5963682980741198	True
TP63	-0.914018619955537	-0.8265453022001292	True
SPRED1	-0.910583593434861	-0.8077679161577924	True
