panel	gene	oksa_coef	li194_effect	li95_effect	li95_bh_q	in_primary_219	oksa_li95_match
A_Li95_gene_level	ABCA9	-2.47246313200142	-1.2500733967429123	-3.745723941838821	1.01921911785774e-08	True	True
A_Li95_gene_level	ANPEP	1.75667323792258	1.1961847600772817	1.9376609006556231	1.1822993041547747e-08	True	True
A_Li95_gene_level	ATP9A	1.82015789474967	1.311566109698772	2.357776248653014	1.2177107581073385e-08	True	True
A_Li95_gene_level	CABLES1	2.09891079214713	0.9193866775763132	1.4040081761612022	4.9758865758021e-07	True	True
A_Li95_gene_level	CACNA2D2	0.918519017787772		1.3796897120949714	8.494076937206352e-09	False	True
A_Li95_gene_level	CAMSAP2	-1.25694412809224	-1.197956979406956	-1.3317055981242565	9.830681357738678e-07	True	True
A_Li95_gene_level	CD33	1.28931377128775	1.3527845140929529	2.199437164480797	1.80807603758727e-08	True	True
A_Li95_gene_level	CD38	-1.02099029806454		-1.501471082856364	4.237927863960006e-09	False	True
A_Li95_gene_level	CKM	-2.09804090032178		-1.9047905943229075	7.219889078944405e-07	False	True
A_Li95_gene_level	CNGA2	NA		-1.285098185313042	1.1554700875978653e-07	NA	NA
A_Li95_gene_level	CREG2	1.81499289484808	1.1918805684256035	1.6666622699821518	6.922030524211898e-08	True	True
A_Li95_gene_level	CXXC5	1.48406648998938		1.45720531875949	5.9773834621606065e-09	False	True
A_Li95_gene_level	DAPK1	1.55239843521452	1.462523570985115	2.565526220917187	2.2740178608934447e-10	True	True
A_Li95_gene_level	DLGAP3	1.84336645751271	1.104470733792439	1.781207406042923	4.03595932765838e-10	True	True
A_Li95_gene_level	DSCAM	NA	-0.9795994830128424	-2.1371658236439743	3.305869870178772e-07	NA	NA
A_Li95_gene_level	EFEMP1	-1.90518501801758	-1.221462687693257	-2.514600127987542	8.846929235321781e-06	True	True
A_Li95_gene_level	EGLN3	1.64552797639474		2.1667866627993844	2.459348585710121e-10	False	True
A_Li95_gene_level	ESAM	3.10317522581758		3.329232464893208	1.6919544698857515e-11	False	True
A_Li95_gene_level	FGD4	0.770663657313705	1.1840373311182877	1.5843712100710876	3.605344288925655e-07	True	True
A_Li95_gene_level	FRZB	0.0396989458105925	-1.065484646341868	-0.9704301435142336	0.0005449934508152	True	False
A_Li95_gene_level	FZD6	1.32682696011482		1.4033435562957095	2.396146914798296e-05	False	True
A_Li95_gene_level	GALNT6	0.913611957982816		1.140778129830787	1.795469488553453e-06	False	True
A_Li95_gene_level	GATA2	2.32883506759674	1.486028956439295	2.939434420320472	2.679134385501665e-10	True	True
A_Li95_gene_level	GLB1L2	0.870151258083957		0.8262381277809805	0.0017684823378834	False	True
A_Li95_gene_level	GSN	-1.20665615668619		-1.4864931811018156	1.222905709263144e-07	False	True
A_Li95_gene_level	IL12RB2	-0.343934566183979		-1.0204402762441953	0.0009157329048336	False	True
A_Li95_gene_level	ITM2A	1.42612080799578		1.712265875677355	1.5899014970328704e-08	False	True
A_Li95_gene_level	MAPK14	0.204448306536515		0.5645446737621356	7.95220371738568e-07	False	True
A_Li95_gene_level	MAST4	1.29746418068533		1.9890931373671876	4.637192486776726e-09	False	True
A_Li95_gene_level	MPV17L	2.50556724099023	1.2766113012151394	1.998441718509243	1.0556164780781764e-06	True	True
A_Li95_gene_level	NEO1	-1.48415432820759	-1.1663386677014431	-1.704347076528017	3.917760158428051e-09	True	True
A_Li95_gene_level	NKAIN3	0.930815305583803		1.2871987732074892	1.4887751290311505e-07	False	True
A_Li95_gene_level	NPR3	1.56560897909236	0.8806757936346064	1.120411175027245	0.000318227851548	True	True
A_Li95_gene_level	OR2B6	0.560095178562846		1.289077791000671	1.8200630008087163e-06	False	True
A_Li95_gene_level	OR4D5	0.237374359366507		0.8336410373034497	0.0002237294875481	False	True
A_Li95_gene_level	PDGFC	1.01079485352054	0.7123689839056355	1.542363811148495	3.915476904576131e-05	True	True
A_Li95_gene_level	PLEKHG3	-0.0733944583475616	1.1278642640145398	1.977352087949121	1.8291816942746063e-09	True	False
A_Li95_gene_level	PWWP2B	0.622504831976468	0.9776696977398184	1.5696615737335922	3.5672641011225515e-08	True	True
A_Li95_gene_level	REPS2	0.0165243121544085		1.1048249019115106	1.1963254277041534e-06	False	True
A_Li95_gene_level	SALL4	2.36165979724402	1.2139615661738836	1.970693618802967	2.550022665625181e-07	True	True
A_Li95_gene_level	SDC2	1.06791579661849		2.1497867838667872	5.9773834621606065e-09	False	True
A_Li95_gene_level	SERTAD4	1.96245665115827	1.1613638183247943	1.9046718374104576	4.339309837809677e-07	True	True
A_Li95_gene_level	SHE	3.56122355799133	1.3227219986761565	2.471091535240583	5.814755569278416e-08	True	True
A_Li95_gene_level	SLC6A20	1.47607838461295	1.2809808959524074	1.4808791118870293	6.684908846822432e-06	True	True
A_Li95_gene_level	STAB1	2.01784390972649	1.084471873504676	2.332654760561274	7.21988516294991e-08	True	True
A_Li95_gene_level	TDRD10	2.1173565018353		1.3133440195393056	3.748907690470299e-07	False	True
A_Li95_gene_level	TFPI	2.69790739266125		3.9381223496496194	6.962594285537995e-10	False	True
A_Li95_gene_level	TXNRD3	1.32156364585923		1.3565032019880654	1.0907717875790868e-06	False	True
A_Li95_gene_level	VAV3	0.463625944002364		0.7107079696809482	4.143101923405588e-07	False	True
A_Li95_gene_level	XPNPEP2	-0.391405712153491		-0.7241639595656073	0.0018270433960419	False	True
A_Li95_summary	oksa_vs_li95_all50					rho=0.8181 n=48 concordance=95.8 P=4.999750012499375e-05	
A_Li95_summary	oksa_vs_li95_in219					rho=0.6809 n=24 concordance=91.7 P=0.000599970001499925	
A_Li95_summary	li194_vs_li95					rho=0.8815 n=25 concordance=100.0 P=4.999750012499375e-05	
C_local_CD34_CD38	CD34					n=31 median_poor=86.0 median_good=63.9 HL=17.15 CI=[-1.7,39.01] P=0.1844 q=0.1844	higher in poor
C_local_CD34_CD38	CD38					n=15 median_poor=31.6 median_good=86.25 HL=-36.2 CI=[-80.6,-9.0] P=0.0574 q=0.1149	lower in poor
