drug	n_measurements_paper	n_patients_nonmissing_in_C1C2	n_C1	n_C2	median_LC50_difference_C1_minus_C2	published_p	bh_fdr_20drug	direction	significant_bh_0.05	claim_class
Mercaptopurine	174	172.0	102.0	70.0	0.209001027	1.307299e-07	2.614598e-06	C1_more_resistant	True	PHARMACOLOGICAL_ANNOTATION_OF_CONVERGENT_STATE
Prednisolone	163	161.0	95.0	66.0	0.079889076	0.00223346	0.0148897333333333	C1_more_resistant	True	PHARMACOLOGICAL_ANNOTATION_OF_CONVERGENT_STATE
Asparaginase	158				0.0	0.02333128	0.09332512	no_difference	False	NOT_SIGNIFICANT
Vincristine	158				0.00109638	0.537037	0.7481526249999999	C1_more_resistant	False	NOT_SIGNIFICANT
Thioguanine	115	115.0	72.0	43.0	0.111299362	0.0004841051	0.004841051	C1_more_resistant	True	PHARMACOLOGICAL_ANNOTATION_OF_CONVERGENT_STATE
Dexamethasone	111				0.079548913	0.01870078	0.09332512	C1_more_resistant	False	NOT_SIGNIFICANT
Cytarabine	86				0.051464924	0.122356	0.30589	C1_more_resistant	False	NOT_SIGNIFICANT
Dasatinib	61				0.0	0.1924411	0.3498929090909091	no_difference	False	NOT_SIGNIFICANT
Ibrutinib	61				0.047732412	0.2353264	0.3922106666666666	C1_more_resistant	False	NOT_SIGNIFICANT
Trametinib	59				0.0	0.08894358	0.2541245142857143	no_difference	False	NOT_SIGNIFICANT
Bortezomib	57				-0.023422458	0.8214103	0.8646424210526316	C2_more_resistant	False	NOT_SIGNIFICANT
Daunorubicin	56				0.074768733	0.1556693	0.3324624	C1_more_resistant	False	NOT_SIGNIFICANT
Venetoclax	56				0.082675905	0.0723065	0.2410216666666666	C1_more_resistant	False	NOT_SIGNIFICANT
Vorinostat	50				0.00026253	0.6990821	0.776757888888889	C1_more_resistant	False	NOT_SIGNIFICANT
CHZ868	46				0.045448725	0.9906312	0.9906312	C1_more_resistant	False	NOT_SIGNIFICANT
Nelarabine	44				0.0	0.6573492	0.773352	no_difference	False	NOT_SIGNIFICANT
Inotuzumab	33				0.09402359	0.1662312	0.3324624	C1_more_resistant	False	NOT_SIGNIFICANT
Ruxolitinib	32				0.0	0.5771554	0.7481526249999999	no_difference	False	NOT_SIGNIFICANT
Gilteritinib	24				0.001412947	0.5985221	0.7481526249999999	C1_more_resistant	False	NOT_SIGNIFICANT
Palbociclib	24				0.118295277	0.4294876	0.6607501538461539	C1_more_resistant	False	NOT_SIGNIFICANT
