PATIENT_ID,SAMPLE_ID,fusion_status,sample_type_code,PC1,PC2
TARGET-10-PAKSWW,TARGET-10-PAKSWW-03,Negative,03,-1.677263093107232,6.649220947628765
TARGET-10-PAMXHJ,TARGET-10-PAMXHJ-09,Negative,09,1.81744295005352,5.234956965258846
TARGET-10-PAMXSP,TARGET-10-PAMXSP-09,Negative,09,1.5789274391196373,5.232551631235721
TARGET-10-PANCVR,TARGET-10-PANCVR-03,Negative,03,2.043929300343921,-0.5265926499570763
TARGET-10-PANGIF,TARGET-10-PANGIF-03,Negative,03,-5.793736555262445,-10.072172656523291
TARGET-10-PANIEU,TARGET-10-PANIEU-03,Negative,03,2.1013011455913806,3.095425171661006
TARGET-10-PANKAK,TARGET-10-PANKAK-09,Negative,09,-0.7537578922345758,1.2078011901234977
TARGET-10-PANLIC,TARGET-10-PANLIC-09,Negative,09,0.5182726987578352,5.74956960034092
TARGET-10-PANPJI,TARGET-10-PANPJI-09,Negative,09,-1.1392637629981495,5.780972865421786
TARGET-10-PANRWG,TARGET-10-PANRWG-09,Negative,09,-4.685432977000484,6.023410907452129
TARGET-10-PANSBR,TARGET-10-PANSBR-09,Negative,09,-0.19319452765509706,4.658531450519631
TARGET-10-PANSHK,TARGET-10-PANSHK-09,Negative,09,-9.254890776487958,7.115256859749347
TARGET-10-PANSXG,TARGET-10-PANSXG-09,Negative,09,-6.032499439317296,3.6224244073778635
TARGET-10-PANTSM,TARGET-10-PANTSM-09,Negative,09,-1.704660447800575,2.086529551987367
TARGET-10-PANUHA,TARGET-10-PANUHA-09,Positive,09,-10.671825924198401,5.478535605026224
TARGET-10-PANUSN,TARGET-10-PANUSN-03,Negative,03,-8.594478133986001,-3.6977521067381893
TARGET-10-PANWHJ,TARGET-10-PANWHJ-09,Negative,09,8.054828638459067,-0.6234195089276445
TARGET-10-PANWHW,TARGET-10-PANWHW-09,Negative,09,-16.0921844797616,3.811826273604319
TARGET-10-PANWYH,TARGET-10-PANWYH-09,Negative,09,-0.261496809157574,3.4654081572347906
TARGET-10-PANXDB,TARGET-10-PANXDB-03,Negative,03,-24.83931484525337,3.831451744170427
TARGET-10-PANYGB,TARGET-10-PANYGB-09,Negative,09,-9.245560021186943,-5.842896747194703
TARGET-10-PANYZE,TARGET-10-PANYZE-09,Negative,09,-5.1919803876539685,6.183912940283697
TARGET-10-PANZXZ,TARGET-10-PANZXZ-03,Negative,03,-6.606689055561934,-0.09700419355685624
TARGET-10-PAPAGK,TARGET-10-PAPAGK-09,Negative,09,11.99775991935045,0.9980687623309228
TARGET-10-PAPAIZ,TARGET-10-PAPAIZ-09,Negative,09,13.505127899985615,2.9497229705223793
TARGET-10-PAPBES,TARGET-10-PAPBES-03,Negative,03,6.550577905776377,5.103432031941503
TARGET-10-PAPBSY,TARGET-10-PAPBSY-09,Negative,09,3.229905552034688,-5.794734913215202
TARGET-10-PAPCUR,TARGET-10-PAPCUR-09,Negative,09,9.689662206016253,-4.311297405666787
TARGET-10-PAPDKJ,TARGET-10-PAPDKJ-09,Positive,09,-0.9326613707727546,3.1909021880869313
TARGET-10-PAPDUF,TARGET-10-PAPDUF-09,Negative,09,12.281010715276894,0.554638978619732
TARGET-10-PAPDUV,TARGET-10-PAPDUV-09,Negative,09,-1.3498914632854058,7.038936818420618
TARGET-10-PAPECF,TARGET-10-PAPECF-09,Positive,09,14.273632120498386,-3.397120205204443
TARGET-10-PAPEFH,TARGET-10-PAPEFH-09,Negative,09,13.474934676481654,-0.22228966367924008
TARGET-10-PAPEJN,TARGET-10-PAPEJN-09,Positive,09,-8.478114036742575,8.048014905783244
TARGET-10-PAPESW,TARGET-10-PAPESW-09,Negative,09,-2.28375165179097,5.528641457569512
TARGET-10-PAPEWB,TARGET-10-PAPEWB-09,Negative,09,0.7009138995594625,2.5771365479130983
TARGET-10-PAPFWH,TARGET-10-PAPFWH-09,Negative,09,6.913066406572016,3.708572443624996
TARGET-10-PAPFXN,TARGET-10-PAPFXN-09,Negative,09,-1.9946570783054185,3.7133510611558043
TARGET-10-PAPGFP,TARGET-10-PAPGFP-09,Negative,09,-3.0082645682278417,-1.8453681729061882
TARGET-10-PAPGNC,TARGET-10-PAPGNC-03,Negative,03,0.18509941841284364,4.862556688132531
TARGET-10-PAPGYC,TARGET-10-PAPGYC-09,Negative,09,1.356445563811591,1.6900111893815875
TARGET-10-PAPHEK,TARGET-10-PAPHEK-03,Negative,03,7.166700069997982,3.183356940200892
TARGET-10-PAPHGD,TARGET-10-PAPHGD-09,Negative,09,0.8792243763977885,2.2914796137778213
TARGET-10-PAPHJF,TARGET-10-PAPHJF-09,Negative,09,-5.764772736074095,-14.16910844934936
TARGET-10-PAPHMH,TARGET-10-PAPHMH-09,Negative,09,-7.8629452483032685,5.476009468216806
TARGET-10-PAPIGX,TARGET-10-PAPIGX-09,Negative,09,8.544316606680582,1.8844780852203826
TARGET-10-PAPIJM,TARGET-10-PAPIJM-09,Negative,09,4.004232032780428,4.7784517289948525
TARGET-10-PAPIRZ,TARGET-10-PAPIRZ-09,Negative,09,5.095486915719755,-3.2009780024485504
TARGET-10-PAPJHB,TARGET-10-PAPJHB-09,Negative,09,-4.561753927957298,5.35259200783269
TARGET-10-PAPJHR,TARGET-10-PAPJHR-09,Negative,09,-6.790094696687881,6.481708750329294
TARGET-10-PAPJIB,TARGET-10-PAPJIB-09,Negative,09,3.556098764204682,1.5965580683295948
TARGET-10-PAPJXI,TARGET-10-PAPJXI-09,Negative,09,1.6418911265517202,5.2020410587948325
TARGET-10-PAPKNC,TARGET-10-PAPKNC-09,Negative,09,-6.140882223545659,4.380619125318444
TARGET-10-PAPLDL,TARGET-10-PAPLDL-03,Negative,03,1.0027741977075053,1.7680850449452836
TARGET-10-PAPLTZ,TARGET-10-PAPLTZ-09,Positive,09,-2.564309496799986,5.875299296661802
TARGET-10-PAPLUG,TARGET-10-PAPLUG-09,Negative,09,-11.285684798455087,8.688255201048182
TARGET-10-PAPMVB,TARGET-10-PAPMVB-09,Positive,09,-1.750219630629034,6.207371670177754
TARGET-10-PAPMYD,TARGET-10-PAPMYD-03,Negative,03,-23.395903698570265,-17.601095887314106
TARGET-10-PAPNFY,TARGET-10-PAPNFY-03,Negative,03,-0.7304420528563974,2.977020698080886
TARGET-10-PAPNMY,TARGET-10-PAPNMY-09,Negative,09,-7.639596414126052,4.946627173562626
TARGET-10-PAPNNX,TARGET-10-PAPNNX-09,Negative,09,-11.574708742550682,-0.863938435981163
TARGET-10-PAPRCS,TARGET-10-PAPRCS-09,Negative,09,5.633051313765423,4.019296945345918
TARGET-10-PAPRFE,TARGET-10-PAPRFE-09,Negative,09,-22.656697160948152,-14.4937806766004
TARGET-10-PAPSPN,TARGET-10-PAPSPN-09,Negative,09,15.640909006647034,2.647344556298418
TARGET-10-PAPTLM,TARGET-10-PAPTLM-09,Negative,09,-13.415247852126745,-7.716223227698763
TARGET-10-PAPVTA,TARGET-10-PAPVTA-09,Negative,09,-9.848471541662706,9.546565343352759
TARGET-10-PAPZNK,TARGET-10-PAPZNK-09,Negative,09,11.932065731889796,-2.09341466626989
TARGET-10-PAPZST,TARGET-10-PAPZST-09,Negative,09,10.245965312904442,-1.4526417876221522
TARGET-10-PARACA,TARGET-10-PARACA-09,Negative,09,7.1923496942352845,-11.816447626795943
TARGET-10-PARAKF,TARGET-10-PARAKF-09,Positive,09,0.6923647918380222,3.9918252423241753
TARGET-10-PARARJ,TARGET-10-PARARJ-09,Negative,09,-10.634118573190351,8.843313329957043
TARGET-10-PARBRK,TARGET-10-PARBRK-09,Negative,09,15.496670469757182,1.541852785504894
TARGET-10-PARBVI,TARGET-10-PARBVI-09,Negative,09,-18.40853986949637,9.925382895201198
TARGET-10-PARCHB,TARGET-10-PARCHB-03,Negative,03,-2.292150941099485,-4.850660776548233
TARGET-10-PARFLV,TARGET-10-PARFLV-09,Negative,09,7.7654915425358375,0.47723096203652443
TARGET-10-PARFTR,TARGET-10-PARFTR-09,Negative,09,-9.518400761421473,-10.210512317542351
TARGET-10-PARGFV,TARGET-10-PARGFV-03,Negative,03,13.139520723086436,1.8150398953481648
TARGET-10-PARGML,TARGET-10-PARGML-03,Negative,03,-11.041728051169445,-8.963694165278643
TARGET-10-PARIAD,TARGET-10-PARIAD-03,Negative,03,0.04389397217379248,-13.490949523236514
TARGET-10-PARJSR,TARGET-10-PARJSR-09,Negative,09,5.703814941872812,1.4949346848460505
TARGET-10-PARJZZ,TARGET-10-PARJZZ-09,Negative,09,9.677273044852404,-0.4115873574144172
TARGET-10-PARLAF,TARGET-10-PARLAF-09,Positive,09,10.314707309586908,0.743796282758789
TARGET-10-PARLEK,TARGET-10-PARLEK-03,Negative,03,8.199767415421867,-1.3747446830666379
TARGET-10-PARMSP,TARGET-10-PARMSP-09,Negative,09,3.098329014945936,-0.7021745470000085
TARGET-10-PARMXF,TARGET-10-PARMXF-03,Negative,03,-16.69785511057133,-4.661191559186121
TARGET-10-PARNMF,TARGET-10-PARNMF-03,Positive,03,-3.856663260630635,2.1542778028965177
TARGET-10-PARNSH,TARGET-10-PARNSH-03,Negative,03,5.928231299208117,2.793702115752946
TARGET-10-PARPNM,TARGET-10-PARPNM-09,Negative,09,11.57438775604131,-4.361116676655078
TARGET-10-PARPRW,TARGET-10-PARPRW-09,Negative,09,10.470371499549874,-3.2321075715744136
TARGET-10-PARPZJ,TARGET-10-PARPZJ-03,Positive,03,-1.0577870892686547,-2.0218297412519086
TARGET-10-PARSGC,TARGET-10-PARSGC-03,Negative,03,-3.031975478960372,2.551471209497653
TARGET-10-PARSZH,TARGET-10-PARSZH-09,Negative,09,16.0527454517305,-0.6134480079384654
TARGET-10-PARTJL,TARGET-10-PARTJL-09,Negative,09,-4.92084437055815,-4.137333256407936
TARGET-10-PARTKL,TARGET-10-PARTKL-09,Negative,09,15.256426467262813,1.0206826490864327
