gene,positive_n,negative_n,positive_mean_z,negative_mean_z,delta_z,mw_p,bh_fdr,by_fdr,holm_fwer
MIR3196,11,99,0.1876545454545454,-1.3176939393939395,1.505348484848485,9.689252932023488e-14,2.2856947666643406e-09,2.433308370683391e-08,2.2856947666643406e-09
LINC01416,11,99,1.0732727272727274,-0.6382878787878788,1.7115606060606061,2.6959337308529223e-11,3.1798538355410215e-07,3.385213576379481e-06,6.359438077708958e-07
LINC01265,11,99,0.09649090909090913,-0.8233686868686871,0.9198595959595963,5.864823358150092e-11,4.611706100625355e-07,4.909537013185659e-06,1.3833945337204438e-06
LINC00676,11,99,0.9001727272727272,-0.6598090909090909,1.5599818181818181,1.243786847338574e-10,6.929650282480495e-07,7.3771775147720475e-06,2.9337200368174946e-06
ADAMTS16-DT,11,99,-0.07739090909090902,-0.6885636363636364,0.6111727272727273,1.5681514422094226e-10,6.929650282480495e-07,7.3771775147720475e-06,3.6986419915951444e-06
DRD5,11,99,0.6145181818181819,-0.6995838383838384,1.3141020202020202,1.7625223270403974e-10,6.929650282480495e-07,7.3771775147720475e-06,4.1569089083247775e-06
LINC00930,11,99,1.0814181818181818,-0.5420181818181818,1.6234363636363636,3.2948385276256773e-09,1.1103605838098534e-05,0.00011820693394702014,7.770547183552397e-05
CYP4F62P,11,99,0.22218181818181817,-0.5606212121212121,0.7828030303030302,4.115441602425196e-09,1.2135408425151297e-05,0.00012919131343891652,9.70544593099934e-05
LINC02056,11,99,0.13696363636363637,-0.9957292929292928,1.132692929292929,5.678829619657987e-09,1.4884843414192436e-05,0.0001584612897763392,0.00013391816009077466
DUXAP10,11,99,0.49356363636363637,-0.5446181818181818,1.038181818181818,7.165887864931669e-09,1.6904329473373808e-05,0.00017996036482324844,0.00016897880174295368
WNT4,11,99,1.2827636363636363,-0.5119343434343435,1.7946979797979798,9.458034370826043e-09,2.028318461888967e-05,0.0002159310317242756,0.0002230204504640781
DSC3,11,99,1.5641818181818181,-0.5804323232323233,2.1446141414141415,1.0427452037297028e-08,2.0477033785643212e-05,0.00021799471409775266,0.0002458688915874266
BIRC7,11,99,1.9258090909090908,-0.5121595959595959,2.437968686868687,1.1284503569875446e-08,2.0477033785643212e-05,0.00021799471409775266,0.00026606602517052324
PSKH2,11,99,0.24313636363636365,-0.6508636363636364,0.8940000000000001,1.3809141870431945e-08,2.326840405167783e-05,0.00024771112563738766,0.00032557813787917393
LINC00670,11,99,1.503309090909091,-0.5562404040404041,2.0595494949494952,1.802907800070345e-08,2.8353730002439626e-05,0.00030184856508955286,0.0004250535429445846
SERTAD4-AS1,11,99,0.8625636363636363,-0.4510292929292929,1.3135929292929291,2.7838421287876078e-08,4.104427238631229e-05,0.00043694973197131836,0.0006562907818616785
