repeat,model,nested_cv_c_index,median_selected_penalty
1,clinical,0.5725608812396554,0.1
1,clinical_plus_gain16,0.6279021721849195,0.1
1,clinical_plus_karyotype,0.5183038343683777,1.0
2,clinical,0.5767462387244697,0.1
2,clinical_plus_gain16,0.5276648738950735,0.1
2,clinical_plus_karyotype,0.5218717084933349,1.0
3,clinical,0.5516431419445322,0.1
3,clinical_plus_gain16,0.6050929995451461,0.1
3,clinical_plus_karyotype,0.5526965143169111,0.1
4,clinical,0.5418350564847711,0.1
4,clinical_plus_gain16,0.5872493890241686,1.0
4,clinical_plus_karyotype,0.49528450849156613,0.1
5,clinical,0.5881472904149256,0.1
5,clinical_plus_gain16,0.6045190418273549,0.1
5,clinical_plus_karyotype,0.5147399644479177,0.1
