endpoint,assumed_effect,high_score_prevalence,baseline_risk,total_n_for_80pct_power,required_events
MRD_clearance_delay,OR=1.5,0.05,0.5128205128205128,4100,
MRD_clearance_delay,OR=2.0,0.05,0.5128205128205128,1445,
MRD_clearance_delay,OR=3.0,0.05,0.5128205128205128,612,
EFS,HR=1.5,0.05,0.0958904109589041,10482,1006.0
EFS,HR=2.0,0.05,0.0958904109589041,3587,344.0
EFS,HR=3.0,0.05,0.0958904109589041,1428,137.0
MRD_clearance_delay,OR=1.5,0.1,0.5128205128205128,2164,
MRD_clearance_delay,OR=2.0,0.1,0.5128205128205128,763,
MRD_clearance_delay,OR=3.0,0.1,0.5128205128205128,323,
EFS,HR=1.5,0.1,0.0958904109589041,5533,531.0
EFS,HR=2.0,0.1,0.0958904109589041,1893,182.0
EFS,HR=3.0,0.1,0.0958904109589041,754,73.0
MRD_clearance_delay,OR=1.5,0.25,0.5128205128205128,1039,
MRD_clearance_delay,OR=2.0,0.25,0.5128205128205128,366,
MRD_clearance_delay,OR=3.0,0.25,0.5128205128205128,155,
EFS,HR=1.5,0.25,0.0958904109589041,2656,255.0
EFS,HR=2.0,0.25,0.0958904109589041,909,88.0
EFS,HR=3.0,0.25,0.0958904109589041,362,35.0
MRD_clearance_delay,OR=1.5,0.528,0.5128205128205128,782,
MRD_clearance_delay,OR=2.0,0.528,0.5128205128205128,276,
MRD_clearance_delay,OR=3.0,0.528,0.5128205128205128,117,
EFS,HR=1.5,0.528,0.0958904109589041,1998,192.0
EFS,HR=2.0,0.528,0.0958904109589041,684,66.0
EFS,HR=3.0,0.528,0.0958904109589041,273,27.0
