cohort,variable,positive_n,evaluable_n,prevalence,ci_low,ci_high,fisher_p_vs_TARGET
TARGET,gain16,7,144,0.04861111111111111,0.01976480057920668,0.09759155392851773,
TARGET,abnormal_report_tokens_ge3,68,144,0.4722222222222222,0.3885436173818912,0.5570670292902345,
TARGET,del6q,19,144,0.13194444444444445,0.08134535431104008,0.1983571995845601,
TARGET,candidate_score_high,75,144,0.5208333333333334,0.4360800647399104,0.6047119799703824,
Single-center historical,gain16,0,59,0.0,0.0,0.060608900950339835,0.10952392040239488
Single-center historical,abnormal_report_tokens_ge3,2,59,0.03389830508474576,0.004131932972365215,0.11714846388839309,1.003989790541784e-10
Single-center historical,del6q,1,59,0.01694915254237288,0.0004290233327235946,0.09085593288664924,0.00955672867094591
Single-center historical,candidate_score_high,2,59,0.03389830508474576,0.004131932972365215,0.11714846388839309,2.0456049536696714e-12
Single-center contemporary,gain16,0,35,0.0,0.0,0.10003243557210505,0.3481843529242707
Single-center contemporary,abnormal_report_tokens_ge3,3,35,0.08571428571428572,0.018037639814217483,0.2305750186588772,1.2826091858388277e-05
Single-center contemporary,del6q,1,35,0.02857142857142857,0.0007231043763380947,0.14917207965643162,0.13064511188346767
Single-center contemporary,candidate_score_high,3,35,0.08571428571428572,0.018037639814217483,0.2305750186588772,1.0418053582224117e-06
