cohort,variable,penalizer,n,events,hr,ci_low,ci_high,p,c_index,ph_test_p,error
TARGET,candidate_score,0.0,141,24,1.9202330964665217,1.2873599887119804,2.864230034409094,0.0013833392148942837,0.653923205342237,0.18494776493677512,
TARGET,candidate_score,0.01,141,24,1.8733047062995436,1.262815589310951,2.7789255631210854,0.0018104828224645283,0.653923205342237,0.19179112483233385,
TARGET,candidate_score,0.05,141,24,1.7214960786576465,1.1844007461787402,2.502150356114702,0.004413885291386098,0.653923205342237,0.21870251255984002,
TARGET,candidate_score,0.1,141,24,1.5879055960612014,1.1175319548444436,2.2562613722785723,0.009881506013896545,0.653923205342237,0.2511309978722368,
TARGET,candidate_score,0.5,141,24,1.224299943389131,0.9602934916885322,1.5608877539584487,0.10246528183722485,0.653923205342237,0.43893553736755064,
TARGET,candidate_score_high,0.0,141,24,2.9865052209250056,1.1849881563465732,7.526837620142187,0.020348881768997826,0.620534223706177,0.24585226585352066,
TARGET,candidate_score_high,0.01,141,24,2.760894027358999,1.1516327415992509,6.618894683144663,0.022820319778207622,0.620534223706177,0.27015706632520686,
TARGET,candidate_score_high,0.05,141,24,2.2248401045970847,1.054566518476614,4.693789727151608,0.03577743076619802,0.620534223706177,0.34087989781728356,
TARGET,candidate_score_high,0.1,141,24,1.8943260657072243,0.9841519395566185,3.646257350094228,0.05585695189616169,0.620534223706177,0.4000071223314383,
TARGET,candidate_score_high,0.5,141,24,1.2864001239036762,0.859498111816854,1.925339050811099,0.22092499908417754,0.620534223706177,0.6000085605895566,
Single-center historical,candidate_score,0.0,59,5,,,,,,,math range error
Single-center historical,candidate_score,0.01,59,5,0.6994031426085905,0.0008172669806445867,598.5372803205184,0.9173418667215996,0.503125,,
Single-center historical,candidate_score,0.05,59,5,0.8913714576441615,0.02528934657352914,31.418094302774172,0.9495531770528967,0.503125,,
Single-center historical,candidate_score,0.1,59,5,0.938291553510259,0.06759175470431075,13.02512478393385,0.962149047209213,0.503125,,
Single-center historical,candidate_score,0.5,59,5,0.9860437886021838,0.2878399798575457,3.377857216089781,0.9821513530479737,0.503125,,
Single-center historical,candidate_score_high,0.0,59,5,,,,,,,math range error
Single-center historical,candidate_score_high,0.01,59,5,0.5852665475754749,7.2268069759064595e-06,47398.1016585754,0.9259850559945896,0.503125,,
Single-center historical,candidate_score_high,0.05,59,5,0.8560694165446014,0.002537713330630905,288.7855129644679,0.9582700835959967,0.503125,,
Single-center historical,candidate_score_high,0.1,59,5,0.9199312301284673,0.013129462027742973,64.45606578376729,0.9692950325755922,0.503125,,
Single-center historical,candidate_score_high,0.5,59,5,0.9823479033752833,0.13837670931222207,6.973770427568485,0.9857906373001357,0.503125,,
