characteristic,TARGET,Single-center historical,Single-center contemporary
"Patients, n",222,73,42
Diagnosis years,Not available in analysis file,2009-2019,2020-2026
Treatment protocol or era,AALL0331: 127 (57.2%); AALL0232: 94 (42.3%); AALL1131: 1 (0.5%),2015方案: 41 (56.2%); 2005和2009方案: 32 (43.8%),2020: 32 (76.2%); 2025: 10 (23.8%)
Male sex,118/222 (53.2%),40/73 (54.8%),23/42 (54.8%)
"Age at diagnosis, years, median (IQR)",5.0 (4.0-7.0),3.8 (3.0-5.0),4.7 (3.5-6.1)
"WBC, x10^9/L, median (IQR)",21.7 (7.5-64.2),6.1 (3.4-13.1),7.2 (4.4-14.7)
Clinical risk group,Not available in analysis file,LR: 59 (80.8%); IR: 9 (12.3%); HR: 5 (6.8%),LR: 38 (90.5%); IR: 2 (4.8%); HR: 1 (2.4%); Missing: 1 (2.4%)
Evaluable karyotype,144/222 (64.9%),59/73 (80.8%),35/42 (83.3%)
MRD available at primary cohort time point,222/222 (100.0%),69/73 (94.5%),41/42 (97.6%)
D46 MRD available,Not applicable,Not applicable,41/42 (97.6%)
EFS analyzable patients/events,219/38,73/7,Not analyzed
"EFS follow-up, months, median (IQR)",102.0 (65.7-117.6),34.2 (24.3-141.0),Not analyzed
High candidate score among evaluable karyotypes,75/144 (52.1%),2/59 (3.4%),3/35 (8.6%)
