dataset,definition,chr16_gain,total,prevalence_percent,ci95_low_percent,ci95_high_percent,formatted,label,p,lo,hi
TARGET diagnostic karyotype,curated karyotype +16/gain16,7,144,4.861111111111111,1.9764800579206685,9.759155392851774,7/144 (4.9%; 95% CI 2.0-9.8),"TARGET
(karyotype)",0.04861111111111111,0.01976480057920668,0.09759155392851773
Oksa/NOPHO CNVkit,broad/whole-chromosome chr16 gain in CNVkit segments,12,262,4.580152671755725,2.3887093511301654,7.863871216446533,12/262 (4.6%; 95% CI 2.4-7.9),"Oksa/NOPHO
(CNVkit)",0.04580152671755725,0.023887093511301655,0.07863871216446533
GSE184692 aCGH ETV6-RUNX1,primary rule: chr16 mean log2 >=0.20 and >=50% chr16 probes >=0.25,4,136,2.9411764705882355,0.8070685007252573,7.359269873570612,4/136 (2.9%; 95% CI 0.8-7.4),"GSE184692
(aCGH)",0.029411764705882353,0.008070685007252573,0.07359269873570612
