dataset,comparison,positive_label,negative_label,n_positive,n_negative,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
GSE181157,B_ALL_chr16_gain_vs_no_gain,chr16 gain,no chr16 gain,6,130,prerank,CHR16_DOSAGE_EXPRESSED,0.3595176038310993,1.7874133487353467,0.0,0.0211939244083362,0.015,316/584,34.65%,ENSG00000140932;ENSG00000102984;ENSG00000140968;ENSG00000140993;ENSG00000217555;ENSG00000205336;ENSG00000140990;ENSG00000153048;ENSG00000184939;ENSG00000172840;ENSG00000140876;ENSG00000140931;ENSG00000168802;ENSG00000180185;ENSG00000225614;ENSG00000168411;ENSG00000162086;ENSG00000126602;ENSG00000197943;ENSG00000072864;ENSG00000261609;ENSG00000168404;ENSG00000171208;ENSG00000069329;ENSG00000156853;ENSG00000065457;ENSG00000066654;ENSG00000132604;ENSG00000103544;ENSG00000090861;ENSG00000167395;ENSG00000135736;ENSG00000197302;ENSG00000162104;ENSG00000010539;ENSG00000167186;ENSG00000086504;ENSG00000103047;ENSG00000167264;ENSG00000083093;ENSG00000033011;ENSG00000184602;ENSG00000175595;ENSG00000089486;ENSG00000175643;ENSG00000140740;ENSG00000118894;ENSG00000007520;ENSG00000133393;ENSG00000183723;ENSG00000005339;ENSG00000166822;ENSG00000088682;ENSG00000230989;ENSG00000006194;ENSG00000167978;ENSG00000213380;ENSG00000103479;ENSG00000185716;ENSG00000103051;ENSG00000103429;ENSG00000099385;ENSG00000157349;ENSG00000140987;ENSG00000166971;ENSG00000090581;ENSG00000072736;ENSG00000213918;ENSG00000182831;ENSG00000103490;ENSG00000153774;ENSG00000149929;ENSG00000166548;ENSG00000140950;ENSG00000121274;ENSG00000103496;ENSG00000040199;ENSG00000179889;ENSG00000188215;ENSG00000174109;ENSG00000186187;ENSG00000155330;ENSG00000155592;ENSG00000169957;ENSG00000090863;ENSG00000156858;ENSG00000140718;ENSG00000103522;ENSG00000172831;ENSG00000169955;ENSG00000077235;ENSG00000103507;ENSG00000102931;ENSG00000184517;ENSG00000140853;ENSG00000102882;ENSG00000167981;ENSG00000103042;ENSG00000089505;ENSG00000125170;ENSG00000162065;ENSG00000205730;ENSG00000234719;ENSG00000103343;ENSG00000167522;ENSG00000166669;ENSG00000099364;ENSG00000140682;ENSG00000185947;ENSG00000181938;ENSG00000103351;ENSG00000179583;ENSG00000102935;ENSG00000005194;ENSG00000140694;ENSG00000129993;ENSG00000065427;ENSG00000069345;ENSG00000131652;ENSG00000070770;ENSG00000103274;ENSG00000186260;ENSG00000103494;ENSG00000167977;ENSG00000205629;ENSG00000103353;ENSG00000172530;ENSG00000125166;ENSG00000103194;ENSG00000140939;ENSG00000102893;ENSG00000140688;ENSG00000178573;ENSG00000172775;ENSG00000159461;ENSG00000153815;ENSG00000158545;ENSG00000131153;ENSG00000004779;ENSG00000090857;ENSG00000168872;ENSG00000166595;ENSG00000188827;ENSG00000103275;ENSG00000149927;ENSG00000167397;ENSG00000103018;ENSG00000090905;ENSG00000129636;ENSG00000103356;ENSG00000189091;ENSG00000180035;ENSG00000179918;ENSG00000196470;ENSG00000153786;ENSG00000167984;ENSG00000166454;ENSG00000103512;ENSG00000167005;ENSG00000141002;ENSG00000206053;ENSG00000171490;ENSG00000168434;ENSG00000166783;ENSG00000125107;ENSG00000169221;ENSG00000070761;ENSG00000223496;ENSG00000103528;ENSG00000197006;ENSG00000184857;ENSG00000103174;ENSG00000102871;ENSG00000135686;ENSG00000103035;ENSG00000103404;ENSG00000103502;ENSG00000170540;ENSG00000102921;ENSG00000083799;ENSG00000166164;ENSG00000159579;ENSG00000169189;ENSG00000102974;ENSG00000140992;ENSG00000102910;ENSG00000103148;ENSG00000155393;ENSG00000067836;ENSG00000080603;ENSG00000102978;ENSG00000125124;ENSG00000051108;ENSG00000140750;ENSG00000125149;ENSG00000013364;ENSG00000166501;ENSG00000102898;ENSG00000176476;ENSG00000140848;ENSG00000141101;ENSG00000149932;ENSG00000156860;ENSG00000067955;ENSG00000085721;ENSG00000184207;ENSG00000103160;ENSG00000102886;ENSG00000168286;ENSG00000169217;ENSG00000198373;ENSG00000103150;ENSG00000099365;ENSG00000180917;ENSG00000051523;ENSG00000183426;ENSG00000197162;ENSG00000205937;ENSG00000038358;ENSG00000135723;ENSG00000038532;ENSG00000167261;ENSG00000103510;ENSG00000159792;ENSG00000102908;ENSG00000103540;ENSG00000205423;ENSG00000131634;ENSG00000102904;ENSG00000090565;ENSG00000103335;ENSG00000140948;ENSG00000135698;ENSG00000102870;ENSG00000178952;ENSG00000177200;ENSG00000140943;ENSG00000103342;ENSG00000166188;ENSG00000169951;ENSG00000159761;ENSG00000103111;ENSG00000103043;ENSG00000103423;ENSG00000099381;ENSG00000127580;ENSG00000103197;ENSG00000008516;ENSG00000205078;ENSG00000166847;ENSG00000103550;ENSG00000167526;ENSG00000157106;ENSG00000162063;ENSG00000132600;ENSG00000140829;ENSG00000213853;ENSG00000185164;ENSG00000155666;ENSG00000179965;ENSG00000103091;ENSG00000141013;ENSG00000103495;ENSG00000087263;ENSG00000132603;ENSG00000185905;ENSG00000177455;ENSG00000103145;ENSG00000121281;ENSG00000103363;ENSG00000153406;ENSG00000205220;ENSG00000034713;ENSG00000102858;ENSG00000047578;ENSG00000166747;ENSG00000168701;ENSG00000197599;ENSG00000166848;ENSG00000166851;ENSG00000103415;ENSG00000182810;ENSG00000149925;ENSG00000168488;ENSG00000187535;ENSG00000170100;ENSG00000167394;ENSG00000103248;ENSG00000237172;ENSG00000103266;ENSG00000149930;ENSG00000141076;ENSG00000168807;ENSG00000166780;ENSG00000205456;ENSG00000157429;ENSG00000183751;ENSG00000187741;ENSG00000070915;ENSG00000187555;ENSG00000258839;ENSG00000103044;ENSG00000166451;ENSG00000140691;ENSG00000103222;ENSG00000141098;ENSG00000140836;ENSG00000131148;ENSG00000157045;ENSG00000065054;ENSG00000162076;ENSG00000103126;ENSG00000124074;ENSG00000039523;ENSG00000149923;ENSG00000067365
GSE181157,B_ALL_chr16_gain_vs_no_gain,chr16 gain,no chr16 gain,6,130,prerank,RAS_MAPK_CORE,0.4789399864750184,1.6926898545140108,0.0057636887608069,0.0240197809961144,0.034,28/43,37.75%,ENSG00000157557;ENSG00000170345;ENSG00000164056;ENSG00000136158;ENSG00000155903;ENSG00000110092;ENSG00000126767;ENSG00000102882;ENSG00000196712;ENSG00000244405;ENSG00000139318;ENSG00000078061;ENSG00000179295;ENSG00000145715;ENSG00000177885;ENSG00000100485;ENSG00000100030;ENSG00000187678;ENSG00000175832;ENSG00000115904;ENSG00000120738;ENSG00000138166;ENSG00000213281;ENSG00000110395;ENSG00000169032;ENSG00000160691;ENSG00000068831;ENSG00000179388
GSE181157,B_ALL_chr16_gain_vs_no_gain,chr16 gain,no chr16 gain,6,130,prerank,CHR16_16P_MAPK3_REGION,0.4068269589993229,1.6537010956010547,0.0053835800807537,0.0226068527022253,0.048,57/96,35.10%,ENSG00000156853;ENSG00000167395;ENSG00000197302;ENSG00000099385;ENSG00000103490;ENSG00000149929;ENSG00000103496;ENSG00000155592;ENSG00000169957;ENSG00000156858;ENSG00000103522;ENSG00000169955;ENSG00000077235;ENSG00000103507;ENSG00000102882;ENSG00000099364;ENSG00000140682;ENSG00000185947;ENSG00000205629;ENSG00000140688;ENSG00000149927;ENSG00000167397;ENSG00000180035;ENSG00000179918;ENSG00000169221;ENSG00000103502;ENSG00000169189;ENSG00000080603;ENSG00000140750;ENSG00000013364;ENSG00000176476;ENSG00000149932;ENSG00000156860;ENSG00000102886;ENSG00000169217;ENSG00000099365;ENSG00000197162;ENSG00000103510;ENSG00000102870;ENSG00000178952;ENSG00000169951;ENSG00000099381;ENSG00000155666;ENSG00000179965;ENSG00000103495;ENSG00000185905;ENSG00000177455;ENSG00000047578;ENSG00000149925;ENSG00000168488;ENSG00000167394;ENSG00000149930;ENSG00000205456;ENSG00000140691;ENSG00000149923;ENSG00000229809;ENSG00000182601
GSE181157,B_ALL_chr16_gain_vs_no_gain,chr16 gain,no chr16 gain,6,130,prerank,MAPK_ERK_FEEDBACK,0.5081149373703028,1.6014163047812482,0.0090497737556561,0.0264924055104203,0.073,13/26,28.40%,ENSG00000170345;ENSG00000164056;ENSG00000136158;ENSG00000110092;ENSG00000159388;ENSG00000244405;ENSG00000139318;ENSG00000187678;ENSG00000175832;ENSG00000136997;ENSG00000164086;ENSG00000120738;ENSG00000138166
GSE181157,B_ALL_RASmut_vs_RASwt,RAS/MAPK mutated,RAS/MAPK wild-type,47,89,prerank,MAPK_ERK_FEEDBACK,0.6962718602980711,2.245950465936248,0.0,0.0,0.0,9/26,9.12%,ENSG00000187678;ENSG00000139318;ENSG00000244405;ENSG00000175832;ENSG00000136158;ENSG00000170345;ENSG00000122877;ENSG00000164056;ENSG00000179388
GSE181157,B_ALL_RASmut_vs_RASwt,RAS/MAPK mutated,RAS/MAPK wild-type,47,89,prerank,CHR16_16P_MAPK3_REGION,-0.3946120615507654,-1.9358048283990437,0.0,0.0036153289949385,0.0053821313240043,40/96,23.59%,ENSG00000196118;ENSG00000103485;ENSG00000151006;ENSG00000174943;ENSG00000103495;ENSG00000149922;ENSG00000149926;ENSG00000196296;ENSG00000188322;ENSG00000090238;ENSG00000099381;ENSG00000197471;ENSG00000178188;ENSG00000168488;ENSG00000169951;ENSG00000167394;ENSG00000197162;ENSG00000169221;ENSG00000080603;ENSG00000169203;ENSG00000179965;ENSG00000175938;ENSG00000103549;ENSG00000156860;ENSG00000140691;ENSG00000089280;ENSG00000156858;ENSG00000140750;ENSG00000169682;ENSG00000149930;ENSG00000102870;ENSG00000047578;ENSG00000099364;ENSG00000229809;ENSG00000180035;ENSG00000177548;ENSG00000196502;ENSG00000180096;ENSG00000169957;ENSG00000169877
GSE181157,B_ALL_RASmut_vs_RASwt,RAS/MAPK mutated,RAS/MAPK wild-type,47,89,prerank,RAS_MAPK_CORE,0.5334496740900712,1.9291837723484844,0.0014388489208633,0.0010535557506584,0.003,13/43,9.12%,ENSG00000187678;ENSG00000139318;ENSG00000244405;ENSG00000155903;ENSG00000175832;ENSG00000136158;ENSG00000170345;ENSG00000122877;ENSG00000169032;ENSG00000100485;ENSG00000177885;ENSG00000164056;ENSG00000179388
GSE181157,B_ALL_RASmut_vs_RASwt,RAS/MAPK mutated,RAS/MAPK wild-type,47,89,prerank,CHR16_DOSAGE_EXPRESSED,-0.2951240798162246,-1.7842861870081428,0.0,0.0103036876355748,0.0193756727664155,217/584,24.40%,ENSG00000156968;ENSG00000196118;ENSG00000197774;ENSG00000176678;ENSG00000162004;ENSG00000140854;ENSG00000205022;ENSG00000242612;ENSG00000103485;ENSG00000261732;ENSG00000007545;ENSG00000178773;ENSG00000159753;ENSG00000151006;ENSG00000132613;ENSG00000103245;ENSG00000176715;ENSG00000161996;ENSG00000103202;ENSG00000187535;ENSG00000138834;ENSG00000103489;ENSG00000129993;ENSG00000135740;ENSG00000162066;ENSG00000008710;ENSG00000059145;ENSG00000007541;ENSG00000103253;ENSG00000102935;ENSG00000174943;ENSG00000131650;ENSG00000103197;ENSG00000103495;ENSG00000102970;ENSG00000141012;ENSG00000131149;ENSG00000149922;ENSG00000103326;ENSG00000103168;ENSG00000166123;ENSG00000188536;ENSG00000196123;ENSG00000149926;ENSG00000196296;ENSG00000007516;ENSG00000007376;ENSG00000103316;ENSG00000129925;ENSG00000102981;ENSG00000127586;ENSG00000157350;ENSG00000217930;ENSG00000153443;ENSG00000103024;ENSG00000168676;ENSG00000131653;ENSG00000103199;ENSG00000185883;ENSG00000188322;ENSG00000103269;ENSG00000185864;ENSG00000206177;ENSG00000102977;ENSG00000167513;ENSG00000172366;ENSG00000258429;ENSG00000090447;ENSG00000102996;ENSG00000127564;ENSG00000005187;ENSG00000167962;ENSG00000039523;ENSG00000090238;ENSG00000103254;ENSG00000172828;ENSG00000169246;ENSG00000102858;ENSG00000103260;ENSG00000099381;ENSG00000095906;ENSG00000187741;ENSG00000157353;ENSG00000059122;ENSG00000122390;ENSG00000161999;ENSG00000197562;ENSG00000197471;ENSG00000103222;ENSG00000100726;ENSG00000167930;ENSG00000038358;ENSG00000167523;ENSG00000257108;ENSG00000162062;ENSG00000168096;ENSG00000197912;ENSG00000103043;ENSG00000141084;ENSG00000178188;ENSG00000174177;ENSG00000102890;ENSG00000167965;ENSG00000168488;ENSG00000103148;ENSG00000183426;ENSG00000171724;ENSG00000183751;ENSG00000127580;ENSG00000169951;ENSG00000140983;ENSG00000243716;ENSG00000179588;ENSG00000085644;ENSG00000103319;ENSG00000167394;ENSG00000197162;ENSG00000172824;ENSG00000102901;ENSG00000169221;ENSG00000153406;ENSG00000122386;ENSG00000167377;ENSG00000130731;ENSG00000188827;ENSG00000080603;ENSG00000067365;ENSG00000169203;ENSG00000167967;ENSG00000158545;ENSG00000176842;ENSG00000179965;ENSG00000103005;ENSG00000159792;ENSG00000162073;ENSG00000166676;ENSG00000175938;ENSG00000058600;ENSG00000005189;ENSG00000188897;ENSG00000090565;ENSG00000103549;ENSG00000156860;ENSG00000167978;ENSG00000167508;ENSG00000140691;ENSG00000167522;ENSG00000089280;ENSG00000196557;ENSG00000185669;ENSG00000158792;ENSG00000131165;ENSG00000166446;ENSG00000182685;ENSG00000156858;ENSG00000166188;ENSG00000140750;ENSG00000169682;ENSG00000197599;ENSG00000158717;ENSG00000149930;ENSG00000102870;ENSG00000047578;ENSG00000205937;ENSG00000103227;ENSG00000103257;ENSG00000007392;ENSG00000135722;ENSG00000140848;ENSG00000162065;ENSG00000048471;ENSG00000131148;ENSG00000261884;ENSG00000162032;ENSG00000099364;ENSG00000179583;ENSG00000224470;ENSG00000262246;ENSG00000103021;ENSG00000167968;ENSG00000229809;ENSG00000102878;ENSG00000090857;ENSG00000205250;ENSG00000180035;ENSG00000153815;ENSG00000187193;ENSG00000196155;ENSG00000177548;ENSG00000103249;ENSG00000089486;ENSG00000183044;ENSG00000167969;ENSG00000196502;ENSG00000198931;ENSG00000039068;ENSG00000168140;ENSG00000103264;ENSG00000186187;ENSG00000103248;ENSG00000103152;ENSG00000180096;ENSG00000205078;ENSG00000167972;ENSG00000006007;ENSG00000038532;ENSG00000169957;ENSG00000169877;ENSG00000103089;ENSG00000103091;ENSG00000166851;ENSG00000167208;ENSG00000185324;ENSG00000186260;ENSG00000141076;ENSG00000102967;ENSG00000007038
GSE227832,GSE227832_ETV6_RUNX1_or_like_vs_other_BALL,ETV6::RUNX1/like,other B-ALL,49,252,prerank,MAPK_ERK_FEEDBACK,-0.4015974774480634,-1.2217574943320837,0.2053333333333333,0.185518590998043,0.4002145922746781,10/21,18.37%,ENSG00000179388;ENSG00000175832;ENSG00000137331;ENSG00000120738;ENSG00000125740;ENSG00000171223;ENSG00000136997;ENSG00000170345;ENSG00000159388;ENSG00000122877
GSE227832,GSE227832_ETV6_RUNX1_or_like_vs_other_BALL,ETV6::RUNX1/like,other B-ALL,49,252,prerank,CHR16_16P_MAPK3_REGION,0.2950754392694912,1.10908680447841,0.2619047619047619,0.410358126721763,0.777,42/119,28.30%,ENSG00000188322;ENSG00000155592;ENSG00000099365;ENSG00000140682;ENSG00000182601;ENSG00000079616;ENSG00000169896;ENSG00000099364;ENSG00000167395;ENSG00000140750;ENSG00000090238;ENSG00000102882;ENSG00000197302;ENSG00000205456;ENSG00000099377;ENSG00000169957;ENSG00000077235;ENSG00000282034;ENSG00000167397;ENSG00000103510;ENSG00000089280;ENSG00000169877;ENSG00000205629;ENSG00000150281;ENSG00000168488;ENSG00000149930;ENSG00000103495;ENSG00000169951;ENSG00000099381;ENSG00000103549;ENSG00000102870;ENSG00000099385;ENSG00000156873;ENSG00000180096;ENSG00000213658;ENSG00000197165;ENSG00000156858;ENSG00000185947;ENSG00000174943;ENSG00000080603;ENSG00000047578;ENSG00000176476
