dataset,comparison,positive_label,negative_label,n_positive,n_negative,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
GSE181157,B_ALL_chr16_gain_vs_no_gain,chr16 gain,no chr16 gain,6,130,prerank,CHR16_DOSAGE_EXPRESSED,0.3595176038310993,1.7874133487353467,0.0,0.021193924408336277,0.015,316/584,34.65%,ENSG00000140932;ENSG00000102984;ENSG00000140968;ENSG00000140993;ENSG00000217555;ENSG00000205336;ENSG00000140990;ENSG00000153048;ENSG00000184939;ENSG00000172840;ENSG00000140876;ENSG00000140931;ENSG00000168802;ENSG00000180185;ENSG00000225614;ENSG00000168411;ENSG00000162086;ENSG00000126602;ENSG00000197943;ENSG00000072864;ENSG00000261609;ENSG00000168404;ENSG00000171208;ENSG00000069329;ENSG00000156853;ENSG00000065457;ENSG00000066654;ENSG00000132604;ENSG00000103544;ENSG00000090861;ENSG00000167395;ENSG00000135736;ENSG00000197302;ENSG00000162104;ENSG00000010539;ENSG00000167186;ENSG00000086504;ENSG00000103047;ENSG00000167264;ENSG00000083093;ENSG00000033011;ENSG00000184602;ENSG00000175595;ENSG00000089486;ENSG00000175643;ENSG00000140740;ENSG00000118894;ENSG00000007520;ENSG00000133393;ENSG00000183723;ENSG00000005339;ENSG00000166822;ENSG00000088682;ENSG00000230989;ENSG00000006194;ENSG00000167978;ENSG00000213380;ENSG00000103479;ENSG00000185716;ENSG00000103051;ENSG00000103429;ENSG00000099385;ENSG00000157349;ENSG00000140987;ENSG00000166971;ENSG00000090581;ENSG00000072736;ENSG00000213918;ENSG00000182831;ENSG00000103490;ENSG00000153774;ENSG00000149929;ENSG00000166548;ENSG00000140950;ENSG00000121274;ENSG00000103496;ENSG00000040199;ENSG00000179889;ENSG00000188215;ENSG00000174109;ENSG00000186187;ENSG00000155330;ENSG00000155592;ENSG00000169957;ENSG00000090863;ENSG00000156858;ENSG00000140718;ENSG00000103522;ENSG00000172831;ENSG00000169955;ENSG00000077235;ENSG00000103507;ENSG00000102931;ENSG00000184517;ENSG00000140853;ENSG00000102882;ENSG00000167981;ENSG00000103042;ENSG00000089505;ENSG00000125170;ENSG00000162065;ENSG00000205730;ENSG00000234719;ENSG00000103343;ENSG00000167522;ENSG00000166669;ENSG00000099364;ENSG00000140682;ENSG00000185947;ENSG00000181938;ENSG00000103351;ENSG00000179583;ENSG00000102935;ENSG00000005194;ENSG00000140694;ENSG00000129993;ENSG00000065427;ENSG00000069345;ENSG00000131652;ENSG00000070770;ENSG00000103274;ENSG00000186260;ENSG00000103494;ENSG00000167977;ENSG00000205629;ENSG00000103353;ENSG00000172530;ENSG00000125166;ENSG00000103194;ENSG00000140939;ENSG00000102893;ENSG00000140688;ENSG00000178573;ENSG00000172775;ENSG00000159461;ENSG00000153815;ENSG00000158545;ENSG00000131153;ENSG00000004779;ENSG00000090857;ENSG00000168872;ENSG00000166595;ENSG00000188827;ENSG00000103275;ENSG00000149927;ENSG00000167397;ENSG00000103018;ENSG00000090905;ENSG00000129636;ENSG00000103356;ENSG00000189091;ENSG00000180035;ENSG00000179918;ENSG00000196470;ENSG00000153786;ENSG00000167984;ENSG00000166454;ENSG00000103512;ENSG00000167005;ENSG00000141002;ENSG00000206053;ENSG00000171490;ENSG00000168434;ENSG00000166783;ENSG00000125107;ENSG00000169221;ENSG00000070761;ENSG00000223496;ENSG00000103528;ENSG00000197006;ENSG00000184857;ENSG00000103174;ENSG00000102871;ENSG00000135686;ENSG00000103035;ENSG00000103404;ENSG00000103502;ENSG00000170540;ENSG00000102921;ENSG00000083799;ENSG00000166164;ENSG00000159579;ENSG00000169189;ENSG00000102974;ENSG00000140992;ENSG00000102910;ENSG00000103148;ENSG00000155393;ENSG00000067836;ENSG00000080603;ENSG00000102978;ENSG00000125124;ENSG00000051108;ENSG00000140750;ENSG00000125149;ENSG00000013364;ENSG00000166501;ENSG00000102898;ENSG00000176476;ENSG00000140848;ENSG00000141101;ENSG00000149932;ENSG00000156860;ENSG00000067955;ENSG00000085721;ENSG00000184207;ENSG00000103160;ENSG00000102886;ENSG00000168286;ENSG00000169217;ENSG00000198373;ENSG00000103150;ENSG00000099365;ENSG00000180917;ENSG00000051523;ENSG00000183426;ENSG00000197162;ENSG00000205937;ENSG00000038358;ENSG00000135723;ENSG00000038532;ENSG00000167261;ENSG00000103510;ENSG00000159792;ENSG00000102908;ENSG00000103540;ENSG00000205423;ENSG00000131634;ENSG00000102904;ENSG00000090565;ENSG00000103335;ENSG00000140948;ENSG00000135698;ENSG00000102870;ENSG00000178952;ENSG00000177200;ENSG00000140943;ENSG00000103342;ENSG00000166188;ENSG00000169951;ENSG00000159761;ENSG00000103111;ENSG00000103043;ENSG00000103423;ENSG00000099381;ENSG00000127580;ENSG00000103197;ENSG00000008516;ENSG00000205078;ENSG00000166847;ENSG00000103550;ENSG00000167526;ENSG00000157106;ENSG00000162063;ENSG00000132600;ENSG00000140829;ENSG00000213853;ENSG00000185164;ENSG00000155666;ENSG00000179965;ENSG00000103091;ENSG00000141013;ENSG00000103495;ENSG00000087263;ENSG00000132603;ENSG00000185905;ENSG00000177455;ENSG00000103145;ENSG00000121281;ENSG00000103363;ENSG00000153406;ENSG00000205220;ENSG00000034713;ENSG00000102858;ENSG00000047578;ENSG00000166747;ENSG00000168701;ENSG00000197599;ENSG00000166848;ENSG00000166851;ENSG00000103415;ENSG00000182810;ENSG00000149925;ENSG00000168488;ENSG00000187535;ENSG00000170100;ENSG00000167394;ENSG00000103248;ENSG00000237172;ENSG00000103266;ENSG00000149930;ENSG00000141076;ENSG00000168807;ENSG00000166780;ENSG00000205456;ENSG00000157429;ENSG00000183751;ENSG00000187741;ENSG00000070915;ENSG00000187555;ENSG00000258839;ENSG00000103044;ENSG00000166451;ENSG00000140691;ENSG00000103222;ENSG00000141098;ENSG00000140836;ENSG00000131148;ENSG00000157045;ENSG00000065054;ENSG00000162076;ENSG00000103126;ENSG00000124074;ENSG00000039523;ENSG00000149923;ENSG00000067365
GSE181157,B_ALL_chr16_gain_vs_no_gain,chr16 gain,no chr16 gain,6,130,prerank,RAS_MAPK_CORE,0.47893998647501845,1.6926898545140108,0.005763688760806916,0.02401978099611445,0.034,28/43,37.75%,ENSG00000157557;ENSG00000170345;ENSG00000164056;ENSG00000136158;ENSG00000155903;ENSG00000110092;ENSG00000126767;ENSG00000102882;ENSG00000196712;ENSG00000244405;ENSG00000139318;ENSG00000078061;ENSG00000179295;ENSG00000145715;ENSG00000177885;ENSG00000100485;ENSG00000100030;ENSG00000187678;ENSG00000175832;ENSG00000115904;ENSG00000120738;ENSG00000138166;ENSG00000213281;ENSG00000110395;ENSG00000169032;ENSG00000160691;ENSG00000068831;ENSG00000179388
GSE181157,B_ALL_chr16_gain_vs_no_gain,chr16 gain,no chr16 gain,6,130,prerank,CHR16_16P_MAPK3_REGION,0.4068269589993229,1.6537010956010547,0.005383580080753701,0.02260685270222536,0.048,57/96,35.10%,ENSG00000156853;ENSG00000167395;ENSG00000197302;ENSG00000099385;ENSG00000103490;ENSG00000149929;ENSG00000103496;ENSG00000155592;ENSG00000169957;ENSG00000156858;ENSG00000103522;ENSG00000169955;ENSG00000077235;ENSG00000103507;ENSG00000102882;ENSG00000099364;ENSG00000140682;ENSG00000185947;ENSG00000205629;ENSG00000140688;ENSG00000149927;ENSG00000167397;ENSG00000180035;ENSG00000179918;ENSG00000169221;ENSG00000103502;ENSG00000169189;ENSG00000080603;ENSG00000140750;ENSG00000013364;ENSG00000176476;ENSG00000149932;ENSG00000156860;ENSG00000102886;ENSG00000169217;ENSG00000099365;ENSG00000197162;ENSG00000103510;ENSG00000102870;ENSG00000178952;ENSG00000169951;ENSG00000099381;ENSG00000155666;ENSG00000179965;ENSG00000103495;ENSG00000185905;ENSG00000177455;ENSG00000047578;ENSG00000149925;ENSG00000168488;ENSG00000167394;ENSG00000149930;ENSG00000205456;ENSG00000140691;ENSG00000149923;ENSG00000229809;ENSG00000182601
GSE181157,B_ALL_chr16_gain_vs_no_gain,chr16 gain,no chr16 gain,6,130,prerank,MAPK_ERK_FEEDBACK,0.5081149373703028,1.6014163047812482,0.00904977375565611,0.026492405510420345,0.073,13/26,28.40%,ENSG00000170345;ENSG00000164056;ENSG00000136158;ENSG00000110092;ENSG00000159388;ENSG00000244405;ENSG00000139318;ENSG00000187678;ENSG00000175832;ENSG00000136997;ENSG00000164086;ENSG00000120738;ENSG00000138166
GSE181157,B_ALL_chr16_gain_vs_no_gain,chr16 gain,no chr16 gain,6,130,prerank,B_ALL_STEM_CELL_LIKE,0.5210712362879147,1.4165217885093087,0.06222222222222222,0.08251501236312257,0.246,8/15,14.34%,ENSG00000007062;ENSG00000157554;ENSG00000122025;ENSG00000124766;ENSG00000118513;ENSG00000135363;ENSG00000152804;ENSG00000174059
GSE181157,B_ALL_chr16_gain_vs_no_gain,chr16 gain,no chr16 gain,6,130,prerank,B_ALL_MATURE_B,0.451423465471887,1.236447033866532,0.2032640949554896,0.20511009066289887,0.561,6/15,21.04%,ENSG00000019582;ENSG00000153064;ENSG00000104894;ENSG00000136573;ENSG00000269404;ENSG00000012124
GSE181157,B_ALL_chr16_gain_vs_no_gain,chr16 gain,no chr16 gain,6,130,prerank,B_ALL_EARLY_PROGENITOR,0.43276057010068925,1.2332397893539562,0.20333839150227617,0.18024928092042186,0.571,7/16,20.53%,ENSG00000169575;ENSG00000196549;ENSG00000122025;ENSG00000138795;ENSG00000174059;ENSG00000107447;ENSG00000168685
GSE181157,B_ALL_chr16_gain_vs_no_gain,chr16 gain,no chr16 gain,6,130,prerank,B_ALL_PRE_BCR_PRE_B,0.37652897479306197,1.0349643950228533,0.4328125,0.4053338043094313,0.899,6/15,21.54%,ENSG00000169575;ENSG00000196549;ENSG00000105369;ENSG00000119866;ENSG00000095585;ENSG00000007312
GSE181157,B_ALL_RASmut_vs_RASwt,RAS/MAPK mutated,RAS/MAPK wild-type,47,89,prerank,MAPK_ERK_FEEDBACK,0.6962718602980711,2.245950465936248,0.0,0.0,0.0,9/26,9.12%,ENSG00000187678;ENSG00000139318;ENSG00000244405;ENSG00000175832;ENSG00000136158;ENSG00000170345;ENSG00000122877;ENSG00000164056;ENSG00000179388
GSE181157,B_ALL_RASmut_vs_RASwt,RAS/MAPK mutated,RAS/MAPK wild-type,47,89,prerank,B_ALL_PRE_BCR_PRE_B,-0.6217184328541961,-1.9650793981587922,0.0,0.008676789587852493,0.004305705059203444,6/15,5.34%,ENSG00000175097;ENSG00000128322;ENSG00000196092;ENSG00000166349;ENSG00000128218;ENSG00000071564
