feature,feature_category,n,feature_n,prevalence,event_n,event_positive_rate,event_negative_rate,event_odds_ratio,event_fisher_p,poor_5y_n,poor_5y_positive_rate,poor_5y_negative_rate,poor_5y_odds_ratio,poor_5y_fisher_p,univ_n,univ_events,univ_hr,univ_ci_low,univ_ci_high,univ_cox_p,adjusted_n,adjusted_events,adjusted_hr,adjusted_ci_low,adjusted_ci_high,adjusted_cox_p,univ_error,event_fisher_fdr,poor_5y_fisher_fdr,univ_cox_fdr,adjusted_cox_fdr
gain_chr_16,whole_chromosome_numerical,141,7,0.0496453900709219,141,0.5714285714285714,0.1492537313432835,7.6,0.0162385060479794,135,0.2857142857142857,0.1484375,2.294736842105263,0.2981970934812796,141,24,4.203605402045863,1.4358822951667445,12.306230417067136,0.0087908533521245,141,24,5.0217062641473165,1.6376469462256,15.398638797878274,0.0047611978212127,,0.6333017358711991,0.9453463339215809,0.3076798673243577,0.1856867150272963
abnormal_tokens_ge3,abnormality_burden,141,67,0.475177304964539,141,0.2388059701492537,0.1081081081081081,2.588235294117647,0.0454919525524562,135,0.2153846153846154,0.1,2.4705882352941178,0.0950254698883718,141,24,2.32651974010648,0.9952834021153272,5.438344585674034,0.0512893349396122,141,24,1.9305314242884104,0.9327038373899842,3.9958574530949607,0.0763510033587793,,0.8870930747728963,0.9453463339215809,0.8267228840268153,0.8240356612503942
structural_type_der,structural_event_type,141,24,0.1702127659574468,141,0.2916666666666667,0.1452991452991453,2.422145328719723,0.1308435769466128,135,0.217391304347826,0.1428571428571428,1.6666666666666667,0.3560669709845831,141,24,2.0786133060498355,0.8618983381373221,5.012926797637056,0.1032966602292591,141,24,1.7838021390664804,0.7844922748572377,4.0560629764228135,0.1673240997463935,,0.9751768728832214,0.9453463339215809,0.8267228840268153,0.8240356612503942
structural_chr_1,structural_chromosome_involvement,141,5,0.0354609929078014,141,0.4,0.1617647058823529,3.4545454545454546,0.2008268920106743,135,0.4,0.1461538461538461,3.8947368421052633,0.1723869663940303,141,24,2.903428014641996,0.6815395639958418,12.368899300260422,0.149452405558029,141,24,4.690747081852754,0.9628840822040476,22.851253429742936,0.0557292012193723,,0.9751768728832214,0.9453463339215809,0.8267228840268153,0.8240356612503942
del_13q,deletion,141,5,0.0354609929078014,141,0.4,0.1617647058823529,3.4545454545454546,0.2008268920106743,135,0.4,0.1461538461538461,3.8947368421052633,0.1723869663940303,141,24,2.6824657955840974,0.6299008542203471,11.423421156310267,0.1819560312664212,141,24,2.538743228493961,0.5991423910621172,10.757404711087649,0.2060022710149041,,0.9751768728832214,0.9453463339215809,0.8267228840268153,0.8240356612503942
del_chr_13,deletion,141,5,0.0354609929078014,141,0.4,0.1617647058823529,3.4545454545454546,0.2008268920106743,135,0.4,0.1461538461538461,3.8947368421052633,0.1723869663940303,141,24,2.6824657955840974,0.6299008542203471,11.423421156310267,0.1819560312664212,141,24,2.538743228493961,0.5991423910621172,10.757404711087649,0.2060022710149041,,0.9751768728832214,0.9453463339215809,0.8267228840268153,0.8240356612503942
gain_chr_10,whole_chromosome_numerical,141,13,0.0921985815602836,141,0.3076923076923077,0.15625,2.4,0.2359809547033112,135,0.25,0.1463414634146341,1.9444444444444444,0.3987209672008193,141,24,1.9698502903289987,0.672782595094257,5.767554325280379,0.2161303114696377,141,24,1.73298045997147,0.6177445396633048,4.861590968136768,0.296143775018541,,0.9751768728832214,0.9453463339215809,0.8267228840268153,0.8240356612503942
del_6q,deletion,141,19,0.1347517730496454,141,0.2631578947368421,0.1557377049180328,1.9360902255639096,0.3209234794796808,135,0.2777777777777778,0.1367521367521367,2.4278846153846154,0.158042137843528,141,24,1.829205308306656,0.682577190377524,4.901998055467729,0.2298744222324036,141,24,1.696123361225725,0.6732579121049882,4.2730050472055,0.2623961314526727,,0.9751768728832214,0.9453463339215809,0.8267228840268153,0.8240356612503942
del_chr_6,deletion,141,19,0.1347517730496454,141,0.2631578947368421,0.1557377049180328,1.9360902255639096,0.3209234794796808,135,0.2777777777777778,0.1367521367521367,2.4278846153846154,0.158042137843528,141,24,1.829205308306656,0.682577190377524,4.901998055467729,0.2298744222324036,141,24,1.696123361225725,0.6732579121049882,4.2730050472055,0.2623961314526727,,0.9751768728832214,0.9453463339215809,0.8267228840268153,0.8240356612503942
del_11q,deletion,141,6,0.0425531914893617,141,0.3333333333333333,0.1629629629629629,2.5681818181818183,0.2704342442591765,135,0.3333333333333333,0.1472868217054263,2.8947368421052637,0.234568983230257,141,24,2.048776907773384,0.4813695281467685,8.719884771238917,0.3317512024894826,141,24,1.5981703365284123,0.3978982455660779,6.41909948842732,0.508667182915264,,0.9751768728832214,0.9453463339215809,0.8267228840268153,0.8240356612503942
del_chr_11,deletion,141,6,0.0425531914893617,141,0.3333333333333333,0.1629629629629629,2.5681818181818183,0.2704342442591765,135,0.3333333333333333,0.1472868217054263,2.8947368421052637,0.234568983230257,141,24,2.048776907773384,0.4813695281467685,8.719884771238917,0.3317512024894826,141,24,1.5981703365284123,0.3978982455660779,6.41909948842732,0.508667182915264,,0.9751768728832214,0.9453463339215809,0.8267228840268153,0.8240356612503942
structural_chr_3,structural_chromosome_involvement,141,8,0.0567375886524822,141,0.25,0.1654135338345864,1.681818181818182,0.6239651129614463,135,0.2857142857142857,0.1484375,2.294736842105263,0.2981970934812796,141,24,1.9866082194700423,0.4668856079856548,8.453060343181948,0.3528565271454795,141,24,1.7845086669435513,0.4493708880183631,7.086509756872635,0.4104495824749687,,0.9751768728832214,0.9453463339215809,0.8267228840268153,0.8240356612503942
structural_chr_21,structural_chromosome_involvement,141,13,0.0921985815602836,141,0.0769230769230769,0.1796875,0.3804347826086957,0.6970594730705987,135,0.0833333333333333,0.1626016260162601,0.4681818181818182,0.690931338280795,141,24,0.3962856913687608,0.0535145384398517,2.934573552570696,0.3648817357907618,141,24,0.5333455316969555,0.1278945828393951,2.224155627751009,0.3882632632979051,,0.9851891290791008,0.9458001102902048,0.8267228840268153,0.8240356612503942
gain_chr_21,whole_chromosome_numerical,141,27,0.1914893617021276,141,0.2222222222222222,0.1578947368421052,1.5238095238095235,0.4056241865062275,135,0.1923076923076923,0.146788990825688,1.3839285714285714,0.554860328059492,141,24,1.493980951087353,0.5928169361926344,3.765039333300349,0.3946339948088715,141,24,1.3181704035325037,0.5594416569420754,3.105906024672296,0.5275643061986856,,0.9751768728832214,0.9453463339215809,0.8267228840268153,0.8240356612503942
structural_ge3,abnormality_burden,141,42,0.2978723404255319,141,0.2142857142857142,0.1515151515151515,1.5272727272727271,0.4624445957335631,135,0.1951219512195122,0.1382978723404255,1.5104895104895104,0.4427704384229552,141,24,1.4282306765181527,0.6248666649401476,3.264445008508951,0.3980565506492527,141,24,1.2982771282398924,0.6114692759095459,2.756513807179676,0.4968124903649968,,0.9751768728832214,0.9453463339215809,0.8267228840268153,0.8240356612503942
del_chr_9,deletion,141,7,0.0496453900709219,141,0.2857142857142857,0.1641791044776119,2.036363636363636,0.3403509625176721,135,0.2857142857142857,0.1484375,2.294736842105263,0.2981970934812796,141,24,1.863658554385748,0.4380681634586583,7.92849948262208,0.3993982344877556,141,24,1.9916539198801744,0.4740529305212456,8.367600074136217,0.3468354052897924,,0.9751768728832214,0.9453463339215809,0.8267228840268153,0.8240356612503942
hypodiploid_clone,karyotype_pattern,141,19,0.1347517730496454,141,0.1052631578947368,0.180327868852459,0.5347593582887701,0.5298170690407537,135,0.1052631578947368,0.1637931034482758,0.6006191950464397,0.7368706279369421,141,24,0.5513097596438559,0.129629069094273,2.344709047146849,0.4201251261726297,141,24,0.6743888213605002,0.2133981442513819,2.131228853800397,0.5021981034987981,,0.9751768728832214,0.9458001102902048,0.8267228840268153,0.8240356612503942
structural_type_del,structural_event_type,141,54,0.3829787234042553,141,0.2037037037037037,0.1494252873563218,1.456171735241503,0.4904631505955018,135,0.1764705882352941,0.1428571428571428,1.2857142857142858,0.6300471495767704,141,24,1.386506821708943,0.6210422695421838,3.095443355349352,0.4251717689280764,141,24,1.2439120284069023,0.608820240645732,2.5415008094577245,0.5493571075002628,,0.9751768728832214,0.9453463339215809,0.8267228840268153,0.8240356612503942
structural_chr_6,structural_chromosome_involvement,141,23,0.1631205673758865,141,0.217391304347826,0.1610169491525423,1.4473684210526316,0.5462380573911275,135,0.2272727272727272,0.1415929203539823,1.7830882352941178,0.3373543279209885,141,24,1.4084301210926975,0.5257345652890411,3.773150058928683,0.495769323080617,141,24,1.333792588276126,0.5411705211890164,3.287323678739273,0.531431389694003,,0.9751768728832214,0.9453463339215809,0.9064764113563224,0.8240356612503942
del_6q21,deletion,141,8,0.0567375886524822,141,0.25,0.1654135338345864,1.681818181818182,0.6239651129614463,135,0.25,0.1496062992125984,1.894736842105263,0.6098801490234174,141,24,1.608416923251053,0.3781515067546523,6.841186542405747,0.5199571482245215,141,24,1.6299173830920026,0.409989291529245,6.479756253623957,0.4878306632775773,,0.9751768728832214,0.9453463339215809,0.9064764113563224,0.8240356612503942
